Name	Start	Duration	Time Format	Type	Description
Marker 01	3:46.097	0:00.000	decimal	Cue	
CD Track 03	3:52.320	0:00.000	decimal	Track	
CD Track 01	3:54.213	0:00.000	decimal	Track	
Marker 02	3:58.845	0:00.000	decimal	Cue	
CD Track 02	4:03.680	0:00.000	decimal	Track	
Marker 03	4:08.507	0:00.000	decimal	Cue	
CD Track 04	4:13.013	0:00.000	decimal	Track	
Marker 04	4:17.670	0:00.000	decimal	Cue	
CD Track 05	4:21.640	0:00.000	decimal	Track	
CD Track 06	4:25.426	0:00.000	decimal	Track	
CD Track 07	4:29.013	0:00.000	decimal	Track	
CD Track 08	4:33.746	0:00.000	decimal	Track	
Marker 06	4:36.346	0:00.000	decimal	Subclip	
Marker 05	4:37.763	0:00.000	decimal	Cue	
Marker 07	4:46.244	0:00.000	decimal	Cue	
CD Track 13	4:51.880	0:00.000	decimal	Track	
Marker 08	4:55.416	0:00.000	decimal	Cue	
CD Track 09	5:00.026	0:00.000	decimal	Track	
CD Track 10	5:07.440	0:00.000	decimal	Track	
Marker 09	5:11.528	0:00.000	decimal	Cue	
CD Track 11	5:15.160	0:00.000	decimal	Track	
CD Track 12	5:17.680	0:00.000	decimal	Track	
Marker 10	5:24.000	0:00.000	decimal	Cue	
