verse,ar,en,timestamps
36:20,وَجَآءَ مِنْ أَقْصَا ٱلْمَدِينَةِ رَجُلٌ,"And there came from the farthest end of the city a man,",3:46.097
,يَسْعَىٰ,running.,3:52.320
,قَالَ يَـٰقَوْمِ ٱتَّبِعُوا ٱلْمُرْسَلِينَ,"He said, ""O my people, follow the messengers.",3:54.213
36:21,ٱتَّبِعُوا مَن لَّا يَسْـَٔلُكُمْ أَجْرًا,"Follow those who do not ask of you [any] payment,",3:58.845
,وَهُم مُّهْتَدُونَ,and they are [rightly] guided.,4:03.680
36:22,وَمَا لِىَ لَآ أَعْبُدُ ٱلَّذِى فَطَرَنِى,And why should I not worship He who created me,4:08.507
,وَإِلَيْهِ تُرْجَعُونَ,and to whom you will be returned?,4:13.013
36:23,ءَأَتَّخِذُ مِن دُونِهِۦٓ ءَالِهَةً,"Should I take other than Him [false] deities [while],",4:17.670
,إِن يُرِدْنِ ٱلرَّحْمَـٰنُ بِضُرٍّ,"if the Most Merciful intends for me some adversity,",4:21.640
,إِن يُرِدْنِ ٱلرَّحْمَـٰنُ بِضُرٍّ,"if the Most Merciful intends for me some adversity,",4:25.426
,لَّا تُغْنِ عَنِّى شَفَـٰعَتُهُمْ شَيْـًٔا,"their intercession will not avail me at all,",4:29.013
,وَلَا يُنقِذُونِ,nor can they save me?,4:33.746
36:24,إِنِّىٓ إِذًا لَّفِى ضَلَـٰلٍ مُّبِينٍ,"Indeed, I would then be in manifest error.","4:37.763,4:36.346"
36:25,إِنِّىٓ ءَامَنتُ بِرَبِّكُمْ,"Indeed, I have believed in your Lord,",4:46.244
,فَٱسْمَعُونِ,"so listen to me.""",4:51.880
36:26,قِيلَ ٱدْخُلِ ٱلْجَنَّةَ ۖ,"It was said, ""Enter Paradise.""",4:55.416
,قَالَ يَـٰلَيْتَ قَوْمِى يَعْلَمُونَ,"He said, ""I wish my people could know",5:00.026
,قَالَ يَـٰلَيْتَ قَوْمِى يَعْلَمُونَ,"He said, ""I wish my people could know",5:07.440
36:27,بِمَا غَفَرَ لِى رَبِّى,Of how my Lord has forgiven me,5:11.528
,بِمَا غَفَرَ لِى رَبِّى,Of how my Lord has forgiven me,5:15.160
,وَجَعَلَنِى مِنَ ٱلْمُكْرَمِينَ,"and placed me among the honored.""",5:17.680
,,,5:24.000
