verse,ar,en,timestamps
52:35,أَمْ خُلِقُوا مِنْ غَيْرِ شَىْءٍ,"Or were they created by nothing,",0:00.418
,أَمْ هُمُ الْخَلِقُونَ,or were they the creators [of themselves]?,0:03.973
52:36,أَمْ خَلَقُوا السَّمَوَتِ وَالْأَرْضَ,Or did they create the heavens and the earth?,0:07.192
,بَل لَّا يُوقِنُونَ,"Rather, they are not certain.",0:11.253
52:37,أَمْ عِندَهُمْ خَزَائِنُ رَبِّكَ,Or have they the depositories [containing the provision] of your Lord?,0:15.077
,أَمْ هُمُ الْمُصَيْطِرُونَ,Or are they the controllers [of them]?,0:20.720
52:38,أَمْ لَهُمْ سُلَّمٌ يَسْتَمِعُونَ فِيهِ,Or have they a stairway [into the heaven] upon which they listen?,0:24.311
,فَلْيَأْتِ مُسْتَمِعُهُم بِسُلْطَنٍ مُّبِينٍ,"Then let their listener produce a clear authority [i.e., proof].",0:29.800
52:39,أَمْ لَهُ الْبَنَتُ وَلَكُمُ الْبَنُونَ,Or has He daughters while you have sons?,0:37.061
52:40,أَمْ تَسْـَٔلُهُمْ أَجْرًا,"Or do you, [O Muhammad], ask of them a payment,",0:42.290
,فَهُم مِّن مَّغْرَمٍ مُّثْقَلُونَ,so they are by debt burdened down?,0:45.960
52:41,أَمْ عِندَهُمُ الْغَيْبُ,"Or have they [knowledge of] the unseen,",0:52.202
,فَهُمْ يَكْتُبُونَ,so they write [it] down?,0:55.253
52:42,أَمْ يُرِيدُونَ كَيْدًا,Or do they intend a plan?,0:58.024
,فَالَّذِينَ كَفَرُوا,But those who disbelieve -,1:02.946
,هُمُ الْمَكِيدُونَ,they are the object of a plan.,1:05.226
52:43,أَمْ لَهُمْ إِلَهٌ غَيْرُ اللَّهِ,Or have they a deity other than Allah?,1:08.832
,سُبْحَنَ اللَّهِ عَمَّا يُشْرِكُونَ,Exalted is Allah above whatever they associate with Him.,1:16.480
,,,1:25.454
