verse,ar,en,timestamps,
27:66,بَلِ ادَّرَكَ عِلْمُهُمْ فِى الْءَاخِرَةِ بَلْ هُمْ فِى شَكٍّ مِّنْهَا بَلْ هُم مِّنْهَا عَمُونَ,"Rather, their knowledge is arrested concerning the Hereafter. Rather, they are in doubt about it. Rather, they are, concerning it, blind.",0:01.273,
27:67,وَقَالَ الَّذِينَ كَفَرُوا أَءِذَا كُنَّا تُرَبًا وَءَابَاؤُنَا أَئِنَّا لَمُخْرَجُونَ,"And those who disbelieve say, ""When we have become dust as well as our forefathers, will we indeed be brought out [of the graves]?",0:13.194,
27:68,لَقَدْ وُعِدْنَا هَذَا نَحْنُ وَءَابَاؤُنَا مِن قَبْلُ إِنْ هَذَا إِلَّا أَسَطِيرُ الْأَوَّلِينَ,"We have been promised this, we and our forefathers, before. This is not but legends of the former peoples.""",0:28.164,
27:69,قُلْ سِيرُوا فِى الْأَرْضِ فَانظُرُوا كَيْفَ كَانَ عَقِبَةُ الْمُجْرِمِينَ,"Say, [O Muhammad], ""Proceed [i.e., travel] through the land and observe how was the end of the criminals.""",0:41.722,
27:70,وَلَا تَحْزَنْ عَلَيْهِمْ وَلَا تَكُن فِى ضَيْقٍ مِّمَّا يَمْكُرُونَ,And grieve not over them or be in distress from what they conspire.,0:50.185,
27:71,وَيَقُولُونَ مَتَى هَذَا الْوَعْدُ إِن كُنتُمْ صَدِقِينَ,"And they say, ""When is [the fulfillment of] this promise, if you should be truthful?""",0:59.384,
27:72,قُلْ عَسَى أَن يَكُونَ رَدِفَ لَكُم بَعْضُ الَّذِى تَسْتَعْجِلُونَ,"Say, ""Perhaps it is close behind you [i.e., very near] - some of that for which you are impatient.",1:07.201,
27:73,وَإِنَّ رَبَّكَ لَذُو فَضْلٍ عَلَى النَّاسِ وَلَكِنَّ أَكْثَرَهُمْ لَا يَشْكُرُونَ,"And indeed, your Lord is the possessor of bounty for the people, but most of them are not grateful.""",1:15.925,
27:74,وَإِنَّ رَبَّكَ لَيَعْلَمُ مَا تُكِنُّ صُدُورُهُمْ,"And indeed, your Lord knows what their breasts conceal",1:34.239,
,وَمَا يُعْلِنُونَ,and what they declare.,1:40.520,
27:75,وَمَا مِنْ غَائِبَةٍ فِى السَّمَاءِ وَالْأَرْضِ,And there is nothing concealed within the heaven and the earth,1:43.542,
,إِلَّا فِى كِتَبٍ مُّبِينٍ,except that it is in a clear Register.,1:52.333,
27:76,إِنَّ هَذَا الْقُرْءَانَ يَقُصُّ عَلَى بَنِى إِسْرَءِيلَ أَكْثَرَ الَّذِى هُمْ فِيهِ يَخْتَلِفُونَ,"Indeed, this Qur’an relates to the Children of Israel most of that over which they disagree.",1:57.687,
27:77,وَإِنَّهُ لَهُدًى وَرَحْمَةٌ لِّلْمُؤْمِنِينَ,"And indeed, it is guidance and mercy for the believers.",2:12.294,
27:78,إِنَّ رَبَّكَ يَقْضِى بَيْنَهُم بِحُكْمِهِ وَهُوَ الْعَزِيزُ الْعَلِيمُ,"Indeed, your Lord will judge between them by His [wise] judgement. And He is the Exalted in Might, the Knowing.",2:19.071,
27:79,فَتَوَكَّلْ عَلَى اللَّهِ إِنَّكَ عَلَى الْحَقِّ الْمُبِينِ,"So rely upon Allah; indeed, you are upon the clear truth.",2:28.268,
27:80,إِنَّكَ لَا تُسْمِعُ الْمَوْتَى وَلَا تُسْمِعُ الصُّمَّ الدُّعَاءَ إِذَا وَلَّوْا مُدْبِرِينَ,"Indeed, you will not make the dead hear, nor will you make the deaf hear the call when they have turned their backs retreating.",2:36.316,
27:81,وَمَا أَنتَ بِهَدِى الْعُمْىِ عَن ضَلَلَتِهِمْ إِن تُسْمِعُ إِلَّا مَن يُؤْمِنُ بَِٔايَتِنَا فَهُم مُّسْلِمُونَ,"And you cannot guide the blind away from their error. You will only make hear those who believe in Our verses so they are Muslims [i.e., submitting to Allah].",2:48.913,
27:82,وَإِذَا وَقَعَ الْقَوْلُ عَلَيْهِمْ أَخْرَجْنَا لَهُمْ دَابَّةً مِّنَ الْأَرْضِ تُكَلِّمُهُمْ أَنَّ النَّاسَ كَانُوا بَِٔايَتِنَا لَا يُوقِنُونَ,"And when the word [i.e., decree] befalls them, We will bring forth for them a creature from the earth speaking to them, [saying] that the people were, of Our verses, not certain [in faith].",3:29.143,
27:83,وَيَوْمَ نَحْشُرُ مِن كُلِّ أُمَّةٍ فَوْجًا مِّمَّن يُكَذِّبُ بَِٔايَتِنَا فَهُمْ يُوزَعُونَ,"And [warn of] the Day when We will gather from every nation a company of those who deny Our signs, and they will be [driven] in rows",3:42.184,
27:84,حَتَّى إِذَا جَاءُو قَالَ أَكَذَّبْتُم بَِٔايَتِى وَلَمْ تُحِيطُوا بِهَا عِلْمًا أَمَّاذَا كُنتُمْ تَعْمَلُونَ,"Until, when they arrive [at the place of Judgement], He will say, ""Did you deny My signs while you encompassed them not in knowledge, or what [was it that] you were doing?""",4:07.540,
27:85,وَوَقَعَ الْقَوْلُ عَلَيْهِم بِمَا ظَلَمُوا فَهُمْ لَا يَنطِقُونَ,"And the decree will befall them for the wrong they did, and they will not [be able to] speak.",4:16.193,
27:86,أَلَمْ يَرَوْا أَنَّا جَعَلْنَا الَّيْلَ لِيَسْكُنُوا فِيهِ وَالنَّهَارَ مُبْصِرًا إِنَّ فِى ذَلِكَ لَءَايَتٍ لِّقَوْمٍ يُؤْمِنُونَ,Do they not see that We made the night that they may rest therein and the day giving sight? Indeed in that are signs for a people who believe.,4:41.984,
27:87,وَيَوْمَ يُنفَخُ فِى الصُّورِ فَفَزِعَ مَن فِى السَّمَوَتِ وَمَن فِى الْأَرْضِ إِلَّا مَن شَاءَ اللَّهُ وَكُلٌّ أَتَوْهُ دَخِرِينَ,"And [warn of] the Day the Horn will be blown, and whoever is in the heavens and whoever is on the earth will be terrified except whom Allah wills. And all will come to Him humbled.",5:00.415,
27:88,وَتَرَى الْجِبَالَ تَحْسَبُهَا جَامِدَةً وَهِىَ تَمُرُّ مَرَّ السَّحَابِ صُنْعَ اللَّهِ الَّذِى أَتْقَنَ كُلَّ شَىْءٍ إِنَّهُ خَبِيرٌ بِمَا تَفْعَلُونَ,"And you see the mountains, thinking them motionless, while they will pass as the passing of clouds. [It is] the work of Allah, who perfected all things. Indeed, He is Aware of that which you do.",5:25.831,
27:89,مَن جَاءَ بِالْحَسَنَةِ فَلَهُ خَيْرٌ مِّنْهَا وَهُم مِّن فَزَعٍ يَوْمَئِذٍ ءَامِنُونَ,"Whoever comes [at Judgement] with a good deed will have better than it, and they, from the terror of that Day, will be safe.",5:48.698,
27:90,وَمَن جَاءَ بِالسَّيِّئَةِ فَكُبَّتْ وُجُوهُهُمْ فِى النَّارِ هَلْ تُجْزَوْنَ إِلَّا مَا كُنتُمْ تَعْمَلُونَ,"And whoever comes with an evil deed - their faces will be overturned into the Fire, [and it will be said], ""Are you recompensed except for what you used to do?""",6:03.379,
27:91,إِنَّمَا أُمِرْتُ أَنْ أَعْبُدَ رَبَّ هَذِهِ الْبَلْدَةِ الَّذِى حَرَّمَهَا وَلَهُ كُلُّ شَىْءٍ وَأُمِرْتُ أَنْ أَكُونَ مِنَ الْمُسْلِمِينَ,"[Say, O Muhammad], ""I have only been commanded to worship the Lord of this city, who made it sacred and to whom [belongs] all things. And I am commanded to be of the Muslims [i.e., those who submit to Allah].",6:20.683,
27:92,وَأَنْ أَتْلُوَا الْقُرْءَانَ فَمَنِ اهْتَدَى فَإِنَّمَا يَهْتَدِى لِنَفْسِهِ وَمَن ضَلَّ فَقُلْ إِنَّمَا أَنَا مِنَ الْمُنذِرِينَ,"And to recite the Qur’an."" And whoever is guided is only guided for [the benefit of] himself; and whoever strays - say, ""I am only [one] of the warners.""",6:38.408,
27:93,وَقُلِ الْحَمْدُ لِلَّهِ سَيُرِيكُمْ ءَايَتِهِ فَتَعْرِفُونَهَا وَمَا رَبُّكَ بِغَفِلٍ عَمَّا تَعْمَلُونَ,"And say, ""[All] praise is [due] to Allah. He will show you His signs, and you will recognize them. And your Lord is not unaware of what you do.""",6:56.114,
