Name	Start	Duration	Time Format	Type	Description
Marker 01	0:04.469	0:00.000	decimal	Cue	
CD Track 01	0:07.653	0:00.000	decimal	Track	
CD Track 02	0:12.146	0:00.000	decimal	Track	
Marker 02	0:16.585	0:00.000	decimal	Cue	
CD Track 03	0:20.813	0:00.000	decimal	Track	
CD Track 04	0:25.520	0:00.000	decimal	Track	
Marker 03	0:28.386	0:00.000	decimal	Cue	
CD Track 05	0:31.280	0:00.000	decimal	Track	
CD Track 06	0:34.640	0:00.000	decimal	Track	
Marker 04	0:41.934	0:00.000	decimal	Cue	
CD Track 07	0:43.880	0:00.000	decimal	Track	
CD Track 08	0:46.346	0:00.000	decimal	Track	
Marker 05	0:51.944	0:00.000	decimal	Cue	
CD Track 09	0:56.133	0:00.000	decimal	Track	
Marker 06	0:59.702	0:00.000	decimal	Cue	
