verse,ar,en,timestamps
6:160,مَن جَآءَ بِٱلْحَسَنَةِ,Whoever comes [on the Day of Judgement] with a good deed,0:00.221
,فَلَهُۥ عَشْرُ أَمْثَالِهَا ۖ,"will have ten times the like thereof [to his credit],",0:04.653
,وَمَن جَآءَ بِٱلسَّيِّئَةِ,and whoever comes with an evil deed,0:07.680
,فَلَا يُجْزَىٰٓ إِلَّا مِثْلَهَا,will not be recompensed except the like thereof;,0:11.346
,فَلَا يُجْزَىٰٓ إِلَّا مِثْلَهَا,will not be recompensed except the like thereof;,0:14.626
,وَهُمْ لَا يُظْلَمُونَ,and they will not be wronged.,0:17.320
6:161,قُلْ إِنَّنِى هَدَىٰنِى رَبِّىٓ إِلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,"Say, ""Indeed, my Lord has guided me to a straight path -",0:19.921
,دِينًا قِيَمًا,a correct religion -,0:26.133
,دِينًا قِيَمًا,a correct religion -,0:28.520
,مِّلَّةَ إِبْرَٰهِيمَ حَنِيفًا ۚ,"the way of Abraham, inclining toward truth.",0:30.426
,وَمَا كَانَ مِنَ ٱلْمُشْرِكِينَ,"And he was not among those who associated others with Allah.""",0:33.386
6:162,قُلْ إِنَّ صَلَاتِى وَنُسُكِى,"Say, ""Indeed, my prayer, my rites of sacrifice,",0:36.625
,وَمَحْيَاىَ وَمَمَاتِى لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,"my living and my dying are for Allah, Lord of the worlds.",0:39.693
6:163,لَا شَرِيكَ لَهُۥ ۖ,No partner has He.,0:45.956
,وَبِذَٰلِكَ أُمِرْتُ,"And this I have been commanded,",0:47.626
,وَأَنَا۠ أَوَّلُ ٱلْمُسْلِمِينَ,"and I am the first [among you] of the Muslims.""",0:49.506
6:164,قُلْ أَغَيْرَ ٱللَّهِ أَبْغِى رَبًّا,"Say, ""Is it other than Allah I should desire as a lord",0:52.575
,وَهُوَ رَبُّ كُلِّ شَىْءٍ ۚ,while He is the Lord of all things?,0:56.000
,وَلَا تَكْسِبُ كُلُّ نَفْسٍ إِلَّا عَلَيْهَا ۚ,"And every soul earns not [blame] except against itself,",0:58.560
,وَلَا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ ۚ,and no bearer of burdens will bear the burden of another.,1:02.440
,ثُمَّ إِلَىٰ رَبِّكُم مَّرْجِعُكُمْ,"Then to your Lord is your return,",1:06.693
,فَيُنَبِّئُكُم بِمَا كُنتُمْ فِيهِ تَخْتَلِفُونَ,"and He will inform you concerning that over which you used to differ.""",1:10.200
6:165,وَهُوَ ٱلَّذِى جَعَلَكُمْ خَلَـٰٓئِفَ ٱلْأَرْضِ,And it is He who has made you successors upon the earth,1:16.010
,وَرَفَعَ بَعْضَكُمْ,and has raised some of you,1:21.946
,وَرَفَعَ بَعْضَكُمْ فَوْقَ بَعْضٍ دَرَجَـٰتٍ,and has raised some of you above others in degrees [of rank],1:24.333
,لِّيَبْلُوَكُمْ فِى مَآ ءَاتَىٰكُمْ ۗ,that He may try you through what He has given you.,1:28.546
,إِنَّ رَبَّكَ سَرِيعُ ٱلْعِقَابِ,"Indeed, your Lord is swift in penalty;",1:32.386
,وَإِنَّهُۥ لَغَفُورٌ رَّحِيمٌۢ,"but indeed, He is Forgiving and Merciful.",1:36.386
,,,1:44.518
