Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.231	0:00.000	decimal	Cue	
CD Track 01	0:03.133	0:00.000	decimal	Track	
CD Track 02	0:07.093	0:00.000	decimal	Track	
CD Track 03	0:10.133	0:00.000	decimal	Track	
CD Track 04	0:14.573	0:00.000	decimal	Track	
CD Track 05	0:20.440	0:00.000	decimal	Track	
Marker 02	0:25.722	0:00.000	decimal	Cue	
CD Track 06	0:28.626	0:00.000	decimal	Track	
CD Track 07	0:32.333	0:00.000	decimal	Track	
CD Track 08	0:34.733	0:00.000	decimal	Track	
CD Track 15	0:36.666	0:00.000	decimal	Track	
CD Track 09	0:40.186	0:00.000	decimal	Track	
CD Track 10	0:42.346	0:00.000	decimal	Track	
Marker 03	0:45.435	0:00.000	decimal	Cue	
CD Track 11	0:48.666	0:00.000	decimal	Track	
CD Track 12	0:52.933	0:00.000	decimal	Track	
CD Track 13	0:55.586	0:00.000	decimal	Track	
CD Track 14	0:58.893	0:00.000	decimal	Track	
Marker 04	1:02.823	0:00.000	decimal	Cue	
