Name	Start	Duration	Time Format	Type	Description
Marker 01	0:07.139	0:00.000	decimal	Cue	
CD Track 01	0:13.773	0:00.000	decimal	Track	
Marker 02	0:19.957	0:00.000	decimal	Cue	
CD Track 02	0:24.773	0:00.000	decimal	Track	
Marker 03	0:32.135	0:00.000	decimal	Cue	
Marker 04	0:35.148	0:00.000	decimal	Cue	
CD Track 04	0:40.080	0:00.000	decimal	Track	
CD Track 05	0:44.693	0:00.000	decimal	Track	
CD Track 06	0:49.000	0:00.000	decimal	Track	
CD Track 07	0:53.880	0:00.000	decimal	Track	
CD Track 08	0:56.453	0:00.000	decimal	Track	
CD Track 09	1:00.720	0:00.000	decimal	Track	
Marker 05	1:07.788	0:00.000	decimal	Cue	
CD Track 10	1:11.840	0:00.000	decimal	Track	
CD Track 11	1:14.000	0:00.000	decimal	Track	
CD Track 12	1:17.866	0:00.000	decimal	Track	
CD Track 13	1:21.213	0:00.000	decimal	Track	
Marker 06	1:26.512	0:00.000	decimal	Cue	
CD Track 14	1:32.306	0:00.000	decimal	Track	
CD Track 15	1:36.293	0:00.000	decimal	Track	
Marker 07	1:41.050	0:00.000	decimal	Cue	
Marker 08	1:45.934	0:00.000	decimal	Cue	
CD Track 17	1:50.933	0:00.000	decimal	Track	
CD Track 18	1:54.173	0:00.000	decimal	Track	
Marker 09	1:59.773	0:00.000	decimal	Cue	
Marker 10	2:05.146	0:00.000	decimal	Cue	
Marker 11	2:09.862	0:00.000	decimal	Cue	
CD Track 21	2:14.933	0:00.000	decimal	Track	
CD Track 22	2:18.853	0:00.000	decimal	Track	
Marker 12	2:23.811	0:00.000	decimal	Cue	
CD Track 23	2:26.440	0:00.000	decimal	Track	
CD Track 38	2:30.760	0:00.000	decimal	Track	
CD Track 24	2:32.240	0:00.000	decimal	Track	
CD Track 25	2:35.786	0:00.000	decimal	Track	
Marker 13	2:42.071	0:00.000	decimal	Cue	
CD Track 26	2:48.000	0:00.000	decimal	Track	
CD Track 27	2:51.533	0:00.000	decimal	Track	
CD Track 28	2:54.386	0:00.000	decimal	Track	
Marker 14	2:59.032	0:00.000	decimal	Cue	
CD Track 29	3:03.373	0:00.000	decimal	Track	
CD Track 30	3:08.626	0:00.000	decimal	Track	
CD Track 31	3:09.760	0:00.000	decimal	Track	
CD Track 32	3:11.173	0:00.000	decimal	Track	
CD Track 33	3:16.053	0:00.000	decimal	Track	
Marker 15	3:21.368	0:00.000	decimal	Cue	
CD Track 34	3:26.613	0:00.000	decimal	Track	
Marker 16	3:30.810	0:00.000	decimal	Cue	
CD Track 35	3:36.026	0:00.000	decimal	Track	
CD Track 37	3:40.213	0:00.000	decimal	Track	
CD Track 36	3:43.826	0:00.000	decimal	Track	
Marker 17	3:48.597	0:00.000	decimal	Cue	
