Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.526	0:00.000	decimal	Cue	
CD Track 01	0:06.853	0:00.000	decimal	Track	
Marker 03	0:13.364	0:00.000	decimal	Cue	
CD Track 02	0:19.253	0:00.000	decimal	Track	
Marker 04	0:22.760	0:00.000	decimal	Cue	
Marker 05	0:28.008	0:00.000	decimal	Cue	
Marker 06	0:32.891	0:00.000	decimal	Cue	
Marker 07	0:37.991	0:00.000	decimal	Cue	
Marker 08	0:42.258	0:00.000	decimal	Cue	
Marker 09	0:47.916	0:00.000	decimal	Cue	
Marker 11	0:54.624	0:00.000	decimal	Cue	
Marker 12	1:01.688	0:00.000	decimal	Cue	
Marker 13	1:10.291	0:00.000	decimal	Cue	
Marker 14	1:17.458	0:00.000	decimal	Cue	
Marker 15	1:22.114	0:00.000	decimal	Cue	
Marker 16	1:25.669	0:00.000	decimal	Cue	
Marker 17	1:32.999	0:00.000	decimal	Cue	
Marker 18	1:40.427	0:00.000	decimal	Cue	
