Name	Start	Duration	Time Format	Type	Description
Marker 13	0:07.762	0:00.000	decimal	Cue	
Marker 14	0:19.500	0:00.000	decimal	Cue	
Marker 15	0:35.809	0:00.000	decimal	Cue	
Marker 16	0:47.263	0:00.000	decimal	Cue	
Marker 17	0:58.192	0:00.000	decimal	Cue	
Marker 18	1:10.481	0:00.000	decimal	Cue	
Marker 19	1:30.708	0:00.000	decimal	Cue	
Marker 20	1:38.971	0:00.000	decimal	Cue	
Marker 22	1:57.280	0:00.000	decimal	Cue	
Marker 23	2:15.527	0:00.000	decimal	Cue	
Marker 24	2:27.582	0:00.000	decimal	Cue	
Marker 25	2:54.027	0:00.000	decimal	Cue	
Marker 05	2:58.226	0:00.000	decimal	Track	
CD Track 13	3:00.226	0:00.000	decimal	Track	
Marker 06	3:05.071	0:00.000	decimal	Cue	
CD Track 14	3:08.200	0:00.000	decimal	Track	
CD Track 01	3:11.826	0:00.000	decimal	Track	
Marker 07	3:17.722	0:00.000	decimal	Cue	
CD Track 02	3:22.013	0:00.000	decimal	Track	
CD Track 15	3:24.440	0:00.000	decimal	Track	
CD Track 03	3:29.566	0:00.000	decimal	Cue	
CD Track 04	3:33.106	0:00.000	decimal	Track	
CD Track 18	3:35.400	0:00.000	decimal	Track	
Marker 09	3:38.402	0:00.000	decimal	Cue	
CD Track 05	3:44.666	0:00.000	decimal	Track	
CD Track 08	3:49.386	0:00.000	decimal	Track	
CD Track 16	3:52.053	0:00.000	decimal	Track	
Marker 10	3:56.014	0:00.000	decimal	Cue	
CD Track 09	4:01.120	0:00.000	decimal	Track	
Marker 11	4:07.264	0:00.000	decimal	Cue	
CD Track 10	4:11.026	0:00.000	decimal	Track	
CD Track 17	4:12.746	0:00.000	decimal	Track	
Marker 12	4:17.359	0:00.000	decimal	Cue	
