Name	Start	Duration	Time Format	Type	Description
Marker 01	0:13.381	0:00.000	decimal	Cue	
Marker 02	0:19.040	0:00.000	decimal	Track	
Marker 03	0:25.822	0:00.000	decimal	Cue	
CD Track 02	0:32.400	0:00.000	decimal	Track	
Marker 04	0:36.582	0:00.000	decimal	Cue	
CD Track 04	0:40.533	0:00.000	decimal	Track	
CD Track 03	0:48.506	0:00.000	decimal	Track	
Marker 05	0:57.927	0:00.000	decimal	Cue	
CD Track 06	1:03.026	0:00.000	decimal	Track	
CD Track 05	1:07.973	0:00.000	decimal	Track	
Marker 06	1:14.273	0:00.000	decimal	Cue	
CD Track 09	1:20.426	0:00.000	decimal	Track	
CD Track 08	1:23.893	0:00.000	decimal	Track	
Marker 07	1:35.000	0:00.000	decimal	Cue	
