verse,ar,en,timestamps
46:30,قَالُوا يَقَوْمَنَا,"They said, ""O our people,",0:00.347
,إِنَّا سَمِعْنَا كِتَبًا أُنزِلَ مِن بَعْدِ مُوسَى,indeed we have heard a [recited] Book revealed after Moses,0:03.386
,مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ,confirming what was before it,0:10.413
,يَهْدِى إِلَى الْحَقِّ وَإِلَى طَرِيقٍ مُّسْتَقِيمٍ,which guides to the truth and to a straight path.,0:13.546
46:31,يَقَوْمَنَا أَجِيبُوا دَاعِىَ اللَّهِ,"O our people, respond to the Caller [i.e., Messenger] of Allah",0:20.000
,يَقَوْمَنَا أَجِيبُوا دَاعِىَ اللَّهِ,"O our people, respond to the Caller [i.e., Messenger] of Allah",0:27.560
,وَءَامِنُوا بِهِ,and believe in him;,0:31.613
,يَغْفِرْ لَكُم مِّن ذُنُوبِكُمْ,"He [i.e., Allah] will forgive for you your sins",0:33.853
,وَيُجِرْكُم مِّنْ عَذَابٍ أَلِيمٍ,and protect you from a painful punishment.,0:37.453
,,,0:42.857
