verse,ar,en,timestamps
33:23,مِّنَ الْمُؤْمِنِينَ رِجَالٌ,Among the believers are men,0:50.370
33:23,رِجَالٌ صَدَقُوا مَا عَهَدُوا اللَّهَ عَلَيْهِ,men true to what they promised Allah.,0:55.693
33:23,مِّنَ الْمُؤْمِنِينَ رِجَالٌ,Among the believers are men,1:03.413
33:23,صَدَقُوا مَا عَهَدُوا اللَّهَ عَلَيْهِ,true to what they promised Allah.,1:06.560
33:23,فَمِنْهُم مَّن قَضَى نَحْبَهُ,"Among them is he who has fulfilled his vow [to the death],",1:10.640
33:23,فَمِنْهُم مَّن قَضَى نَحْبَهُ,"Among them is he who has fulfilled his vow [to the death],",1:14.373
33:23,وَمِنْهُم مَّن يَنتَظِرُ,and among them is he who awaits [his chance].,1:18.386
33:23,وَمَا بَدَّلُوا تَبْدِيلًا,And they did not alter [the terms of their commitment] by any alteration -,1:22.933
33:23,وَمَا بَدَّلُوا تَبْدِيلًا,And they did not alter [the terms of their commitment] by any alteration -,1:25.946
33:24,لِّيَجْزِىَ اللَّهُ الصَّدِقِينَ بِصِدْقِهِمْ,That Allah may reward the truthful for their truth,1:29.066
33:24,لِّيَجْزِىَ اللَّهُ الصَّدِقِينَ بِصِدْقِهِمْ,That Allah may reward the truthful for their truth,1:34.040
33:24,وَيُعَذِّبَ الْمُنَفِقِينَ إِن شَاءَ,and punish the hypocrites if He wills,1:39.026
33:24,أَوْ يَتُوبَ عَلَيْهِمْ,or accept their repentance.,1:44.480
33:24,إِنَّ اللَّهَ كَانَ غَفُورًا رَّحِيمًا,"Indeed, Allah is ever Forgiving and Merciful.",1:47.026
,,,1:52.306
