Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.441	0:00.000	decimal	Cue	
CD Track 01	0:05.413	0:00.000	decimal	Track	
CD Track 02	0:09.693	0:00.000	decimal	Track	
CD Track 03	0:12.240	0:00.000	decimal	Track	
CD Track 04	0:17.280	0:00.000	decimal	Track	
Marker 02	0:22.178	0:00.000	decimal	Cue	
CD Track 05	0:24.946	0:00.000	decimal	Track	
Marker 03	0:28.798	0:00.000	decimal	Cue	
Marker 04	0:33.578	0:00.000	decimal	Cue	
CD Track 06	0:40.320	0:00.000	decimal	Track	
CD Track 07	0:45.466	0:00.000	decimal	Track	
CD Track 08	0:51.706	0:00.000	decimal	Track	
Marker 06	0:55.579	0:00.000	decimal	Cue	
CD Track 09	0:58.506	0:00.000	decimal	Track	
CD Track 10	1:01.653	0:00.000	decimal	Track	
CD Track 11	1:04.680	0:00.000	decimal	Track	
CD Track 12	1:06.813	0:00.000	decimal	Track	
Marker 08	1:12.000	0:00.000	decimal	Cue	
