verse,ar,en,timestamps
2:138,صِبْغَةَ اللَّهِ,"[And say, ""Ours is] the religion of Allah.",0:00.000
,وَمَنْ أَحْسَنُ مِنَ اللَّهِ صِبْغَةً,And who is better than Allah in [ordaining] religion?,0:02.413
,وَنَحْنُ لَهُ عَبِدُونَ,"And we are worshippers of Him.""",0:05.506
2:139,قُلْ أَتُحَاجُّونَنَا فِى اللَّهِ,"Say, [O Muhammad], ""Do you argue with us about Allah","0:09.971,0:09.215"
,وَهُوَ رَبُّنَا وَرَبُّكُمْ,while He is our Lord and your Lord?,0:14.960
,وَلَنَا أَعْمَلُنَا,"For us are our deeds,",0:17.373
,وَلَنَا أَعْمَلُنَا,"For us are our deeds,",0:19.986
,وَلَكُمْ أَعْمَلُكُمْ,and for you are your deeds.,0:21.893
,وَنَحْنُ لَهُ مُخْلِصُونَ,"And we are sincere [in deed and intention] to Him.""",0:23.880
2:140,أَمْ تَقُولُونَ إِنَّ إِبْرَهِمَ,Or do you say that Abraham,0:27.525
,وَإِسْمَعِيلَ وَإِسْحَقَ وَيَعْقُوبَ,and Ishmael and Isaac and Jacob,0:30.440
,وَالْأَسْبَاطَ كَانُوا هُودًا أَوْ نَصَرَى,and the Descendants were Jews or Christians?,0:33.613
,قُلْ ءَأَنتُمْ أَعْلَمُ أَمِ اللَّهُ,"Say, ""Are you more knowing or is Allah?""",0:38.640
,وَمَنْ أَظْلَمُ,And who is more unjust,0:43.466
,مِمَّن كَتَمَ شَهَدَةً عِندَهُ مِنَ اللَّهِ,than one who conceals a testimony he has from Allah?,0:44.666
,وَمَا اللَّهُ بِغَفِلٍ عَمَّا تَعْمَلُونَ,And Allah is not unaware of what you do.,0:52.306
2:141,تِلْكَ أُمَّةٌ قَدْ خَلَتْ,That is a nation which has passed on.,0:57.757
,لَهَا مَا كَسَبَتْ,"It will have [the consequence of] what it earned,",1:01.480
,وَلَكُم مَّا كَسَبْتُمْ,and you will have what you have earned.,1:03.400
,وَلَا تُسَْٔلُونَ عَمَّا كَانُوا يَعْمَلُونَ,And you will not be asked about what they used to do.,1:06.693
,,,1:16.300
