Name	Start	Duration	Time Format	Type	Description
Marker 01	1:29.859	0:00.000	decimal	Cue	
CD Track 16	1:33.360	0:00.000	decimal	Track	
CD Track 01	1:38.666	0:00.000	decimal	Track	
Marker 05	1:43.320	0:00.000	decimal	Track	
CD Track 02	1:48.026	0:00.000	decimal	Track	
CD Track 18	1:53.053	0:00.000	decimal	Track	
CD Track 03	1:54.813	0:00.000	decimal	Track	
CD Track 17	1:59.933	0:00.000	decimal	Track	
CD Track 04	2:01.560	0:00.000	decimal	Track	
CD Track 05	2:04.840	0:00.000	decimal	Track	
CD Track 06	2:09.200	0:00.000	decimal	Track	
CD Track 07	2:13.680	0:00.000	decimal	Track	
CD Track 08	2:20.080	0:00.000	decimal	Track	
Marker 07	2:23.800	0:00.000	decimal	Cue	
CD Track 09	2:27.480	0:00.000	decimal	Track	
CD Track 11	2:31.293	0:00.000	decimal	Track	
CD Track 10	2:36.333	0:00.000	decimal	Track	
CD Track 12	2:40.613	0:00.000	decimal	Track	
CD Track 13	2:44.066	0:00.000	decimal	Track	
CD Track 14	2:47.320	0:00.000	decimal	Track	
CD Track 20	2:49.333	0:00.000	decimal	Track	
Marker 08	2:52.644	0:00.000	decimal	Cue	
