Name	Start	Duration	Time Format	Type	Description
Marker 29	0:00.177	0:00.000	decimal	Cue	
Marker 30	0:12.482	0:00.000	decimal	Cue	
Marker 31	0:23.687	0:00.000	decimal	Cue	
Marker 32	0:36.584	0:00.000	decimal	Cue	
Marker 33	0:42.972	0:00.000	decimal	Cue	
Marker 36	0:56.973	0:00.000	decimal	Cue	
Marker 37	1:07.004	0:00.000	decimal	Cue	
Marker 38	1:17.240	0:00.000	decimal	Cue	
Marker 41	1:40.452	0:00.000	decimal	Cue	
CD Track 02	1:47.146	0:00.000	decimal	Track	
CD Track 04	1:51.893	0:00.000	decimal	Track	
Marker 45	1:55.826	0:00.000	decimal	Track	
CD Track 03	2:00.720	0:00.000	decimal	Track	
Marker 46	2:04.464	0:00.000	decimal	Cue	
CD Track 05	2:12.693	0:00.000	decimal	Track	
CD Track 06	2:21.826	0:00.000	decimal	Track	
CD Track 07	2:26.373	0:00.000	decimal	Track	
CD Track 08	2:30.840	0:00.000	decimal	Track	
CD Track 09	2:36.173	0:00.000	decimal	Track	
Marker 01	2:41.607	0:00.000	decimal	Cue	
Marker 02	2:44.746	0:00.000	decimal	Track	
Marker 22	2:47.226	0:00.000	decimal	Track	
Marker 03	2:49.853	0:00.000	decimal	Cue	
Marker 07	2:54.466	0:00.000	decimal	Track	
Marker 08	2:58.360	0:00.000	decimal	Track	
Marker 09	3:04.126	0:00.000	decimal	Cue	
Marker 24	3:06.413	0:00.000	decimal	Track	
Marker 10	3:10.293	0:00.000	decimal	Track	
Marker 11	3:14.866	0:00.000	decimal	Track	
Marker 12	3:16.533	0:00.000	decimal	Track	
Marker 13	3:21.268	0:00.000	decimal	Cue	
Marker 25	3:27.280	0:00.000	decimal	Track	
Marker 14	3:29.533	0:00.000	decimal	Track	
Marker 26	3:31.746	0:00.000	decimal	Track	
Marker 16	3:35.500	0:00.000	decimal	Cue	
Marker 17	3:37.946	0:00.000	decimal	Track	
Marker 18	3:43.005	0:00.000	decimal	Cue	
Marker 27	3:45.866	0:00.000	decimal	Track	
Marker 19	3:49.080	0:00.000	decimal	Track	
Marker 20	3:52.226	0:00.000	decimal	Track	
Marker 28	3:54.306	0:00.000	decimal	Track	
Marker 21	3:58.448	0:00.000	decimal	Cue	
