Name	Start	Duration	Time Format	Type	Description
Marker 02	0:00.000	0:00.000	decimal	Cue	
Marker 03	0:05.329	0:00.000	decimal	Cue	
CD Track 01	0:10.640	0:00.000	decimal	Track	
Marker 04	0:15.229	0:00.000	decimal	Cue	
Marker 05	0:20.167	0:00.000	decimal	Cue	
CD Track 02	0:28.173	0:00.000	decimal	Track	
Marker 07	0:32.063	0:00.000	decimal	Cue	
CD Track 03	0:39.880	0:00.000	decimal	Track	
CD Track 05	0:44.720	0:00.000	decimal	Track	
Marker 08	0:46.360	0:00.000	decimal	Cue	
Marker 09	0:52.000	0:00.000	decimal	Subclip	
CD Track 06	0:53.653	0:00.000	decimal	Track	
CD Track 07	0:57.253	0:00.000	decimal	Track	
Marker 10	1:01.684	0:00.000	decimal	Cue	
CD Track 08	1:06.573	0:00.000	decimal	Track	
CD Track 09	1:09.093	0:00.000	decimal	Track	
CD Track 10	1:10.000	0:00.000	decimal	Track	
Marker 11	1:15.915	0:00.000	decimal	Cue	
Marker 12	1:22.567	0:00.000	decimal	Cue	
Marker 13	1:25.761	0:00.000	decimal	Cue	
Marker 14	1:29.112	0:00.000	decimal	Cue	
Marker 15	1:31.700	0:00.000	decimal	Cue	
CD Track 12	1:33.480	0:00.000	decimal	Track	
Marker 16	1:43.448	0:00.000	decimal	Cue	
