verse,ar,en,timestamps
69:13,فَإِذَا نُفِخَ فِى ٱلصُّورِ نَفْخَةٌ وَٰحِدَةٌ,Then when the Horn is blown with one blast,0:00.000
69:14,وَحُمِلَتِ ٱلْأَرْضُ وَٱلْجِبَالُ,And the earth and the mountains are lifted,0:05.329
,فَدُكَّتَا دَكَّةً وَٰحِدَةً,"and leveled with one blow [i.e., stroke] -",0:10.640
69:15,فَيَوْمَئِذٍ وَقَعَتِ ٱلْوَاقِعَةُ,"Then on that Day, the Occurrence [i.e., Resurrection] will occur,",0:15.229
69:16,وَٱنشَقَّتِ ٱلسَّمَآءُ,"And the heaven will split [open],",0:20.167
,فَهِىَ يَوْمَئِذٍ وَاهِيَةٌ,for that Day it is infirm.,0:28.173
69:17,وَٱلْمَلَكُ عَلَىٰٓ أَرْجَآئِهَا ۚ,And the angels are at its edges.,0:32.063
,وَيَحْمِلُ عَرْشَ رَبِّكَ فَوْقَهُمْ يَوْمَئِذٍ,"And there will bear the Throne of your Lord above them, that Day,",0:39.880
,ثَمَـٰنِيَةٌ,eight [of them].,0:44.720
69:18,يَوْمَئِذٍ تُعْرَضُونَ,"That Day, you will be exhibited [for judgement];",0:46.360
,يَوْمَئِذٍ تُعْرَضُونَ,"That Day, you will be exhibited [for judgement];","0:53.653,0:52.000"
,لَا تَخْفَىٰ مِنكُمْ خَافِيَةٌ,not hidden among you is anything concealed.,0:57.253
69:19,فَأَمَّا مَنْ أُوتِىَ كِتَـٰبَهُۥ بِيَمِينِهِۦ,"So as for he who is given his record in his right hand,",1:01.684
,فَيَقُولُ,"he will say,",1:06.573
,فَيَقُولُ,"he will say,",1:09.093
,هَآؤُمُ ٱقْرَءُوا كِتَـٰبِيَهْ,"""Here, read my record!",1:10.000
69:20,إِنِّى ظَنَنتُ أَنِّى مُلَـٰقٍ حِسَابِيَهْ,"Indeed, I was certain that I would be meeting my account.""",1:15.915
69:21,فَهُوَ فِى عِيشَةٍ رَّاضِيَةٍ,So he will be in a pleasant life -,1:22.567
69:22,فِى جَنَّةٍ عَالِيَةٍ,"In an elevated garden,",1:25.761
69:23,قُطُوفُهَا دَانِيَةٌ,Its [fruit] to be picked hanging near.,1:29.112
69:24,كُلُوا وَٱشْرَبُوا,"[They will be told], ""Eat and drink",1:31.700
,هَنِيٓـًٔۢا بِمَآ أَسْلَفْتُمْ فِى ٱلْأَيَّامِ ٱلْخَالِيَةِ,"in satisfaction for what you put forth in the days past.""",1:33.480
,,,1:43.448
