Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:08.146	0:00.000	decimal	Track	
CD Track 02	0:16.026	0:00.000	decimal	Track	
CD Track 03	0:19.066	0:00.000	decimal	Track	
Marker 02	0:24.118	0:00.000	decimal	Cue	
CD Track 04	0:26.506	0:00.000	decimal	Track	
CD Track 05	0:31.226	0:00.000	decimal	Track	
Marker 03	0:35.868	0:00.000	decimal	Cue	
CD Track 06	0:40.666	0:00.000	decimal	Track	
CD Track 07	0:45.933	0:00.000	decimal	Track	
CD Track 08	0:50.706	0:00.000	decimal	Track	
Marker 04	0:56.752	0:00.000	decimal	Cue	
CD Track 10	1:00.840	0:00.000	decimal	Track	
CD Track 09	1:03.786	0:00.000	decimal	Track	
CD Track 11	1:06.333	0:00.000	decimal	Track	
CD Track 12	1:08.293	0:00.000	decimal	Track	
CD Track 13	1:11.706	0:00.000	decimal	Track	
CD Track 14	1:13.960	0:00.000	decimal	Track	
Marker 05	1:17.715	0:00.000	decimal	Cue	
CD Track 15	1:24.280	0:00.000	decimal	Track	
CD Track 16	1:26.506	0:00.000	decimal	Track	
Marker 06	1:34.213	0:00.000	decimal	Cue	
