verse,ar,en,timestamps
17:82,وَنُنَزِّلُ مِنَ ٱلْقُرْءَانِ مَا هُوَ شِفَآءٌ,And We send down of the Qur’an that which is healing,0:00.363
,وَرَحْمَةٌ لِّلْمُؤْمِنِينَ ۙ,"and mercy for the believers,",0:05.733
,وَلَا يَزِيدُ ٱلظَّـٰلِمِينَ إِلَّا خَسَارًا,but it does not increase the wrongdoers except in loss.,0:08.866
17:83,وَإِذَآ أَنْعَمْنَا عَلَى ٱلْإِنسَـٰنِ,"And when We bestow favor upon man [i.e., the disbeliever],",0:12.978
,أَعْرَضَ وَنَـَٔا بِجَانِبِهِۦ ۖ,he turns away and distances himself;,0:16.013
,وَإِذَا مَسَّهُ ٱلشَّرُّ كَانَ يَـُٔوسًا,"and when evil touches him, he is ever despairing.",0:18.466
17:84,قُلْ كُلٌّ يَعْمَلُ عَلَىٰ شَاكِلَتِهِۦ,"Say, ""Each works according to his manner,",0:21.984
,فَرَبُّكُمْ أَعْلَمُ بِمَنْ هُوَ أَهْدَىٰ سَبِيلًا,"but your Lord is most knowing of who is best guided in way.""",0:25.586
17:85,وَيَسْـَٔلُونَكَ عَنِ ٱلرُّوحِ ۖ,"And they ask you, [O Muhammad], about the soul.",0:29.884
,قُلِ ٱلرُّوحُ مِنْ أَمْرِ رَبِّى,"Say, ""The soul is of the affair [i.e., concern] of my Lord.",0:33.280
,وَمَآ أُوتِيتُم مِّنَ ٱلْعِلْمِ إِلَّا قَلِيلًا,"And you [i.e., mankind] have not been given of knowledge except a little.""",0:35.906
,,,0:40.115
