verse,ar,en,timestamps
45:27,وَلِلَّهِ مُلْكُ السَّمَوَتِ وَالْأَرْضِ,And to Allah belongs the dominion of the heavens and the earth.,0:05.318
,وَيَوْمَ تَقُومُ السَّاعَةُ,And the Day the Hour appears -,0:09.106
,يَوْمَئِذٍ يَخْسَرُ الْمُبْطِلُونَ,that Day the falsifiers will lose.,0:11.346
45:28,وَتَرَى كُلَّ أُمَّةٍ جَاثِيَةً,And you will see every nation kneeling [from fear].,0:15.866
,كُلُّ أُمَّةٍ تُدْعَى إِلَى كِتَبِهَا,"Every nation will be called to its record [and told],",0:20.266
,الْيَوْمَ تُجْزَوْنَ مَا كُنتُمْ تَعْمَلُونَ,"""Today you will be recompensed for what you used to do.",0:25.000
45:29,هَذَا كِتَبُنَا يَنطِقُ عَلَيْكُم بِالْحَقِّ,"This, Our record, speaks about you in truth.",0:30.913
,إِنَّا كُنَّا نَسْتَنسِخُ مَا كُنتُمْ تَعْمَلُونَ,"Indeed, We were having transcribed whatever you used to do.""",0:37.333
45:30,أَمَّا الَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ,"as for those who believed and did righteous deeds,",0:45.110
,فَأَمَّا الَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ,"So as for those who believed and did righteous deeds,",0:51.946
,فَيُدْخِلُهُمْ رَبُّهُمْ فِى رَحْمَتِهِ,their Lord will admit them into His mercy.,0:56.773
,ذَلِكَ هُوَ الْفَوْزُ الْمُبِينُ,That is what is the clear attainment.,1:00.746
,,,1:05.379
