Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.545	0:00.000	decimal	Cue	
Marker 02	0:04.685	0:00.000	decimal	Cue	
CD Track 01	0:07.986	0:00.000	decimal	Track	
CD Track 02	0:12.786	0:00.000	decimal	Track	
Marker 03	0:16.747	0:00.000	decimal	Cue	
CD Track 03	0:19.986	0:00.000	decimal	Track	
CD Track 04	0:22.026	0:00.000	decimal	Track	
Marker 04	0:27.598	0:00.000	decimal	Cue	
CD Track 05	0:32.266	0:00.000	decimal	Track	
CD Track 06	0:36.440	0:00.000	decimal	Track	
CD Track 07	0:38.493	0:00.000	decimal	Track	
CD Track 08	0:45.586	0:00.000	decimal	Track	
Marker 05	0:49.372	0:00.000	decimal	Cue	
