Name	Start	Duration	Time Format	Type	Description
Marker 02	1:56.458	0:00.000	decimal	Cue	
CD Track 01	1:57.093	0:00.000	decimal	Track	
Marker 03	2:01.859	0:00.000	decimal	Cue	
Marker 04	2:05.888	0:00.000	decimal	Cue	
Marker 05	2:08.782	0:00.000	decimal	Cue	
Marker 06	2:12.260	0:00.000	decimal	Cue	
Marker 07	2:16.570	0:00.000	decimal	Cue	
Marker 08	2:24.528	0:00.000	decimal	Cue	
Marker 09	2:30.014	0:00.000	decimal	Cue	
Marker 10	2:33.868	0:00.000	decimal	Cue	
CD Track 02	2:36.080	0:00.000	decimal	Track	
Marker 11	2:42.176	0:00.000	decimal	Cue	
Marker 12	2:46.286	0:00.000	decimal	Cue	
Marker 13	2:50.574	0:00.000	decimal	Cue	
