verse,ar,en,timestamps
54:47,إِنَّ الْمُجْرِمِينَ فِى ضَلَلٍ وَسُعُرٍ,"Indeed, the criminals are in error and madness.",5:18.507
54:48,يَوْمَ يُسْحَبُونَ فِى النَّارِ,The Day they are dragged into the Fire,5:23.744
,يَوْمَ يُسْحَبُونَ فِى النَّارِ,The Day they are dragged into the Fire,5:28.773
,عَلَى وُجُوهِهِمْ,"on their faces [it will be said],",5:31.666
,ذُوقُوا مَسَّ سَقَرَ,"""Taste the touch of Saqar.""",5:33.946
54:49,إِنَّا كُلَّ شَىْءٍ خَلَقْنَهُ بِقَدَرٍ,"Indeed, all things We created with predestination.",5:36.464
54:50,وَمَا أَمْرُنَا إِلَّا وَحِدَةٌ كَلَمْحٍ بِالْبَصَرِ,"And Our command is but one, like a glance of the eye.",5:41.356
54:51,وَلَقَدْ أَهْلَكْنَا أَشْيَاعَكُمْ,"And We have already destroyed your kinds,",5:48.904
,فَهَلْ مِن مُّدَّكِرٍ,so is there any who will remember?,5:52.640
54:52,وَكُلُّ شَىْءٍ فَعَلُوهُ فِى الزُّبُرِ,And everything they did is in written records.,5:55.410
54:53,وَكُلُّ صَغِيرٍ وَكَبِيرٍ مُّسْتَطَرٌ,And every small and great [thing] is inscribed.,5:59.539
54:54,إِنَّ الْمُتَّقِينَ فِى جَنَّتٍ,"Indeed, the righteous will be among gardens",6:04.848
,إِنَّ الْمُتَّقِينَ فِى جَنَّتٍ وَنَهَرٍ,"Indeed, the righteous will be among gardens and rivers,",6:11.093
54:55,فِى مَقْعَدِ صِدْقٍ عِندَ مَلِيكٍ مُّقْتَدِرٍ,"In a seat of honor near a Sovereign, Perfect in Ability.",6:17.503
,,,6:24.192
