Name	Start	Duration	Time Format	Type	Description
Marker 01	0:18.899	0:00.000	decimal	Cue	
Marker 02	0:21.728	0:00.000	decimal	Cue	
Marker 03	0:24.702	0:00.000	decimal	Cue	
Marker 04	0:27.362	0:00.000	decimal	Cue	
Marker 05	0:30.457	0:00.000	decimal	Cue	
CD Track 11	0:32.186	0:00.000	decimal	Track	
Marker 06	0:33.537	0:00.000	decimal	Cue	
Marker 07	0:39.606	0:00.000	decimal	Cue	
Marker 08	0:44.225	0:00.000	decimal	Cue	
CD Track 01	0:46.706	0:00.000	decimal	Track	
Marker 09	0:49.617	0:00.000	decimal	Cue	
CD Track 02	0:51.973	0:00.000	decimal	Track	
Marker 10	0:54.743	0:00.000	decimal	Cue	
CD Track 12	0:56.200	0:00.000	decimal	Track	
Marker 11	0:58.351	0:00.000	decimal	Cue	
Marker 12	1:02.582	0:00.000	decimal	Cue	
Marker 13	1:06.040	0:00.000	decimal	Cue	
Marker 14	1:09.570	0:00.000	decimal	Cue	
Marker 15	1:13.512	0:00.000	decimal	Cue	
Marker 16	1:16.897	0:00.000	decimal	Cue	
CD Track 05	1:19.013	0:00.000	decimal	Track	
Marker 18	1:21.491	0:00.000	decimal	Cue	
Marker 19	1:26.230	0:00.000	decimal	Cue	
CD Track 06	1:28.800	0:00.000	decimal	Track	
Marker 20	1:32.154	0:00.000	decimal	Cue	
CD Track 07	1:34.360	0:00.000	decimal	Track	
Marker 21	1:37.223	0:00.000	decimal	Cue	
CD Track 04	1:42.320	0:00.000	decimal	Track	
Marker 23	1:47.276	0:00.000	decimal	Cue	
CD Track 08	1:49.413	0:00.000	decimal	Track	
Marker 24	1:52.803	0:00.000	decimal	Cue	
Marker 25	1:55.548	0:00.000	decimal	Cue	
Marker 26	1:59.780	0:00.000	decimal	Cue	
Marker 27	2:04.907	0:00.000	decimal	Cue	
CD Track 09	2:08.080	0:00.000	decimal	Track	
Marker 28	2:10.325	0:00.000	decimal	Cue	
CD Track 10	2:14.666	0:00.000	decimal	Track	
Marker 29	2:16.651	0:00.000	decimal	Cue	
