verse,ar,en,timestamps
56:27,وَأَصْحَـٰبُ ٱلْيَمِينِ,The companions of the right -,3:09.657
,مَآ أَصْحَـٰبُ ٱلْيَمِينِ,what are the companions of the right?,3:11.680
56:28,فِى سِدْرٍ مَّخْضُودٍ,[They will be] among lote trees with thorns removed.,3:17.450
56:29,وَطَلْحٍ مَّنضُودٍ,And [banana] trees layered [with fruit].,3:22.341
56:30,وَظِلٍّ مَّمْدُودٍ,And shade extended.,3:26.522
56:31,وَمَآءٍ مَّسْكُوبٍ,And water poured out,3:30.480
56:32,وَفَـٰكِهَةٍ كَثِيرَةٍ,"And fruit, abundant [and varied],",3:36.764
56:33,لَّا مَقْطُوعَةٍ وَلَا مَمْنُوعَةٍ,"Neither limited [to season] nor forbidden,",3:40.127
56:34,وَفُرُشٍ مَّرْفُوعَةٍ,And [upon] beds raised high.,3:45.052
56:35,إِنَّآ أَنشَأْنَـٰهُنَّ إِنشَآءً,"Indeed, We have produced them [i.e., the women of Paradise] in a [new] creation",3:48.000
56:36,فَجَعَلْنَـٰهُنَّ أَبْكَارًا,"And made them virgins,",3:58.547
56:37,عُرُبًا أَتْرَابًا,"Devoted [to their husbands] and of equal age,",4:02.614
56:38,لِّأَصْحَـٰبِ ٱلْيَمِينِ,For the companions of the right [who are],4:05.317
56:39,ثُلَّةٌ مِّنَ ٱلْأَوَّلِينَ,A company of the former peoples,4:09.133
56:40,وَثُلَّةٌ مِّنَ ٱلْـَٔاخِرِينَ,And a company of the later peoples.,4:13.896
,,,4:21.313
