Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.014	0:00.000	decimal	Cue	
CD Track 03	0:06.293	0:00.000	decimal	Track	
CD Track 01	0:09.346	0:00.000	decimal	Track	
CD Track 11	0:11.520	0:00.000	decimal	Track	
CD Track 02	0:16.480	0:00.000	decimal	Cue	
CD Track 04	0:17.786	0:00.000	decimal	Track	
CD Track 06	0:19.480	0:00.000	decimal	Track	
CD Track 08	0:21.053	0:00.000	decimal	Track	
CD Track 09	0:24.826	0:00.000	decimal	Track	
CD Track 10	0:26.906	0:00.000	decimal	Track	
Marker 02	0:34.579	0:00.000	decimal	Cue	
