verse,ar,en,timestamps
3:191,الَّذِينَ يَذْكُرُونَ اللَّهَ قِيَمًا وَقُعُودًا,Who remember Allah while standing or sitting,0:00.468
,وَعَلَى جُنُوبِهِمْ,or [lying] on their sides,0:06.960
,وَيَتَفَكَّرُونَ فِى خَلْقِ السَّمَوَتِ وَالْأَرْضِ,"and give thought to the creation of the heavens and the earth,",0:09.120
,رَبَّنَا مَا خَلَقْتَ هَذَا بَطِلًا,"[saying], ""Our Lord, You did not create this aimlessly;",0:14.066
,سُبْحَنَكَ,exalted are You [above such a thing];,0:18.280
,فَقِنَا عَذَابَ النَّارِ,then protect us from the punishment of the Fire.,0:19.680
3:192,رَبَّنَا إِنَّكَ مَن تُدْخِلِ النَّارَ,"Our Lord, indeed whoever You admit to the Fire -",0:24.643
,فَقَدْ أَخْزَيْتَهُ,"You have disgraced him,",0:31.240
,رَبَّنَا إِنَّكَ مَن تُدْخِلِ النَّارَ,"Our Lord, indeed whoever You admit to the Fire -",0:33.346
,فَقَدْ أَخْزَيْتَهُ,"You have disgraced him,",0:38.986
,وَمَا لِلظَّلِمِينَ مِنْ أَنصَارٍ,and for the wrongdoers there are no helpers.,0:41.013
3:193,رَّبَّنَا إِنَّنَا سَمِعْنَا مُنَادِيًا يُنَادِى لِلْإِيمَنِ,"Our Lord, indeed we have heard a caller [i.e., Prophet Muhammad] calling to faith,",0:48.511
,أَنْ ءَامِنُوا بِرَبِّكُمْ,"[saying], 'Believe in your Lord,'",0:55.480
,فََٔامَنَّا,and we have believed.,0:57.853
,رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا,"Our Lord, so forgive us our sins",1:00.000
,وَكَفِّرْ عَنَّا سَئَِّاتِنَا,and remove from us our misdeeds,1:04.080
,وَتَوَفَّنَا مَعَ الْأَبْرَارِ,and cause us to die among the righteous.,1:08.200
3:194,رَبَّنَا وَءَاتِنَا مَا وَعَدتَّنَا عَلَى رُسُلِكَ,"Our Lord, and grant us what You promised us through Your messengers",1:14.277
,وَلَا تُخْزِنَا يَوْمَ الْقِيَمَةِ,and do not disgrace us on the Day of Resurrection.,1:19.613
,وَلَا تُخْزِنَا يَوْمَ الْقِيَمَةِ,and do not disgrace us on the Day of Resurrection.,1:23.640
,إِنَّكَ لَا تُخْلِفُ الْمِيعَادَ,"Indeed, You do not fail in [Your] promise.""",1:27.160
,,,1:32.773
