Name	Start	Duration	Time Format	Type	Description
Marker 01	5:12.848	0:00.000	decimal	Cue	
CD Track 01	5:16.840	0:00.000	decimal	Track	
Marker 02	5:19.503	0:00.000	decimal	Cue	
Marker 03	5:23.669	0:00.000	decimal	Cue	
Marker 04	5:29.968	0:00.000	decimal	Cue	
Marker 05	5:34.939	0:00.000	decimal	Cue	
Marker 06	5:39.217	0:00.000	decimal	Cue	
Marker 07	5:43.275	0:00.000	decimal	Cue	
CD Track 02	5:46.533	0:00.000	decimal	Track	
Marker 08	5:49.031	0:00.000	decimal	Cue	
Marker 09	5:53.000	0:00.000	decimal	Cue	
Marker 10	5:57.418	0:00.000	decimal	Cue	
Marker 11	6:01.349	0:00.000	decimal	Cue	
Marker 12	6:05.381	0:00.000	decimal	Cue	
Marker 13	6:10.000	0:00.000	decimal	Cue	
Marker 14	6:12.794	0:00.000	decimal	Cue	
CD Track 03	6:16.000	0:00.000	decimal	Track	
Marker 15	6:20.851	0:00.000	decimal	Cue	
CD Track 04	6:24.013	0:00.000	decimal	Track	
Marker 16	6:26.928	0:00.000	decimal	Cue	
Marker 17	6:30.049	0:00.000	decimal	Cue	
Marker 18	6:35.234	0:00.000	decimal	Cue	
CD Track 06	6:39.973	0:00.000	decimal	Track	
CD Track 07	6:44.680	0:00.000	decimal	Track	
Marker 19	6:50.792	0:00.000	decimal	Cue	
CD Track 08	6:53.266	0:00.000	decimal	Track	
Marker 20	6:55.460	0:00.000	decimal	Cue	
CD Track 09	7:01.253	0:00.000	decimal	Track	
CD Track 10	7:03.693	0:00.000	decimal	Track	
Marker 22	7:09.015	0:00.000	decimal	Cue	
Marker 23	7:14.544	0:00.000	decimal	Cue	
Marker 24	7:19.290	0:00.000	decimal	Cue	
Marker 25	7:24.883	0:00.000	decimal	Cue	
Marker 26	7:30.190	0:00.000	decimal	Cue	
