verse,ar,en,timestamps
53:39,وَأَن لَّيْسَ لِلْإِنسَـٰنِ,And that there is not for man,5:12.848
,إِلَّا مَا سَعَىٰ,except that [good] for which he strives,5:16.840
53:40,وَأَنَّ سَعْيَهُۥ سَوْفَ يُرَىٰ,And that his effort is going to be seen -,5:19.503
53:41,ثُمَّ يُجْزَىٰهُ ٱلْجَزَآءَ ٱلْأَوْفَىٰ,Then he will be recompensed for it with the fullest recompense -,5:23.669
53:42,وَأَنَّ إِلَىٰ رَبِّكَ ٱلْمُنتَهَىٰ,And that to your Lord is the finality,5:29.968
53:43,وَأَنَّهُۥ هُوَ أَضْحَكَ وَأَبْكَىٰ,And that it is He who makes [one] laugh and weep,5:34.939
53:44,وَأَنَّهُۥ هُوَ أَمَاتَ وَأَحْيَا,And that it is He who causes death and gives life,5:39.217
53:45,وَأَنَّهُۥ خَلَقَ ٱلزَّوْجَيْنِ,And that He creates the two mates -,5:43.275
,ٱلذَّكَرَ وَٱلْأُنثَىٰ,the male and female -,5:46.533
53:46,مِن نُّطْفَةٍ إِذَا تُمْنَىٰ,From a sperm-drop when it is emitted,5:49.031
53:47,وَأَنَّ عَلَيْهِ ٱلنَّشْأَةَ ٱلْأُخْرَىٰ,"And that [incumbent] upon Him is the other [i.e., next] creation.",5:53.000
53:48,وَأَنَّهُۥ هُوَ أَغْنَىٰ وَأَقْنَىٰ,And that it is He who enriches and suffices,5:57.418
53:49,وَأَنَّهُۥ هُوَ رَبُّ ٱلشِّعْرَىٰ,And that it is He who is the Lord of Sirius.,6:01.349
53:50,وَأَنَّهُۥٓ أَهْلَكَ عَادًا ٱلْأُولَىٰ,And that He destroyed the first [people of] 'Aad.,6:05.381
53:51,وَثَمُودَا فَمَآ أَبْقَىٰ,And Thamud - and He did not spare [them] -,6:10.000
53:52,وَقَوْمَ نُوحٍ مِّن قَبْلُ ۖ,And the people of Noah before.,6:12.794
,إِنَّهُمْ كَانُوا هُمْ أَظْلَمَ وَأَطْغَىٰ,"Indeed, it was they who were [even] more unjust and oppressing.",6:16.000
53:53,وَٱلْمُؤْتَفِكَةَ أَهْوَىٰ,And the overturned towns He hurled down.,6:20.851
,وَٱلْمُؤْتَفِكَةَ أَهْوَىٰ,And the overturned towns He hurled down.,6:24.013
53:54,فَغَشَّىٰهَا مَا غَشَّىٰ,And covered them by that which He covered.,6:26.928
53:55,فَبِأَىِّ ءَالَآءِ رَبِّكَ تَتَمَارَىٰ,Then which of the favors of your Lord do you doubt?,6:30.049
53:56,هَـٰذَا نَذِيرٌ,This [Prophet] is a warner,6:35.234
,هَـٰذَا نَذِيرٌ,This [Prophet] is a warner,6:39.973
,هَـٰذَا نَذِيرٌ مِّنَ ٱلنُّذُرِ ٱلْأُولَىٰٓ,"This [Prophet] is a warner from [i.e., like] the former warners.",6:44.680
53:57,أَزِفَتِ ٱلْـَٔازِفَةُ,The Approaching Day has approached.,6:50.792
,أَزِفَتِ ٱلْـَٔازِفَةُ,The Approaching Day has approached.,6:53.266
53:58,لَيْسَ لَهَا مِن دُونِ ٱللَّهِ كَاشِفَةٌ,"Of it, [from those] besides Allah, there is no remover.",6:55.460
,أَزِفَتِ ٱلْـَٔازِفَةُ,The Approaching Day has approached.,7:01.253
,لَيْسَ لَهَا مِن دُونِ ٱللَّهِ كَاشِفَةٌ,"Of it, [from those] besides Allah, there is no remover.",7:03.693
53:59,أَفَمِنْ هَـٰذَا ٱلْحَدِيثِ تَعْجَبُونَ,Then at this statement do you wonder?,7:09.015
53:60,وَتَضْحَكُونَ وَلَا تَبْكُونَ,And you laugh and do not weep,7:14.544
53:61,وَأَنتُمْ سَـٰمِدُونَ,While you are proudly sporting?,7:19.290
53:62,فَٱسْجُدُوا لِلَّهِ وَٱعْبُدُوا ۩,So prostrate to Allah and worship [Him].,7:24.883
,,,7:30.190
