verse,ar,en,timestamps
4:145,إِنَّ ٱلْمُنَـٰفِقِينَ فِى ٱلدَّرْكِ ٱلْأَسْفَلِ مِنَ ٱلنَّارِ,"Indeed, the hypocrites will be in the lowest depths of the Fire -",0:00.054
,إِنَّ ٱلْمُنَـٰفِقِينَ فِى ٱلدَّرْكِ ٱلْأَسْفَلِ مِنَ ٱلنَّارِ,"Indeed, the hypocrites will be in the lowest depths of the Fire -",0:08.866
,وَلَن تَجِدَ لَهُمْ نَصِيرًا,and never will you find for them a helper -,0:17.000
4:146,إِلَّا ٱلَّذِينَ تَابُوا وَأَصْلَحُوا,"Except for those who repent, correct themselves,",0:21.786
,وَٱعْتَصَمُوا بِٱللَّهِ,"hold fast to Allah,",0:25.000
,وَٱعْتَصَمُوا بِٱللَّهِ وَأَخْلَصُوا دِينَهُمْ لِلَّهِ,"hold fast to Allah, and are sincere in their religion for Allah,",0:28.386
,فَأُولَـٰٓئِكَ مَعَ ٱلْمُؤْمِنِينَ ۖ,for those will be with the believers.,0:36.120
,وَسَوْفَ يُؤْتِ ٱللَّهُ ٱلْمُؤْمِنِينَ أَجْرًا عَظِيمًا,And Allah is going to give the believers a great reward.,0:42.546
4:147,مَّا يَفْعَلُ ٱللَّهُ بِعَذَابِكُمْ,"What would Allah do with [i.e., gain from] your punishment",0:47.776
,إِن شَكَرْتُمْ وَءَامَنتُمْ ۚ,if you are grateful and believe?,0:50.760
,وَكَانَ ٱللَّهُ شَاكِرًا عَلِيمًا,And ever is Allah Appreciative and Knowing.,0:55.200
,,,1:00.598
