Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.336	0:00.000	decimal	Cue	
CD Track 01	0:05.240	0:00.000	decimal	Track	
CD Track 02	0:10.440	0:00.000	decimal	Track	
Marker 03	0:13.886	0:00.000	decimal	Cue	
CD Track 03	0:17.986	0:00.000	decimal	Track	
Marker 04	0:23.175	0:00.000	decimal	Cue	
CD Track 04	0:26.080	0:00.000	decimal	Track	
CD Track 08	0:32.346	0:00.000	decimal	Track	
CD Track 05	0:33.600	0:00.000	decimal	Track	
CD Track 06	0:42.400	0:00.000	decimal	Track	
CD Track 07	0:45.920	0:00.000	decimal	Track	
Marker 05	0:50.234	0:00.000	decimal	Cue	
