Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.258	0:00.000	decimal	Cue	
CD Track 01	0:06.080	0:00.000	decimal	Track	
CD Track 02	0:08.040	0:00.000	decimal	Track	
CD Track 03	0:13.226	0:00.000	decimal	Track	
CD Track 04	0:15.506	0:00.000	decimal	Track	
CD Track 05	0:18.160	0:00.000	decimal	Track	
CD Track 06	0:24.680	0:00.000	decimal	Track	
CD Track 07	0:28.573	0:00.000	decimal	Track	
CD Track 08	0:32.573	0:00.000	decimal	Track	
Marker 02	0:39.204	0:00.000	decimal	Cue	
CD Track 09	0:44.146	0:00.000	decimal	Track	
CD Track 10	0:49.133	0:00.000	decimal	Track	
CD Track 11	0:53.000	0:00.000	decimal	Track	
Marker 04	1:00.097	0:00.000	decimal	Cue	
CD Track 17	1:02.546	0:00.000	decimal	Track	
CD Track 12	1:07.160	0:00.000	decimal	Track	
CD Track 13	1:13.413	0:00.000	decimal	Track	
CD Track 14	1:17.600	0:00.000	decimal	Track	
CD Track 15	1:24.720	0:00.000	decimal	Track	
CD Track 16	1:28.346	0:00.000	decimal	Track	
Marker 05	1:36.623	0:00.000	decimal	Cue	
