verse,ar,en,timestamps
13:33,أَفَمَنْ هُوَ قَائِمٌ عَلَى كُلِّ نَفْسٍ,"Then is He who is a maintainer of every soul,",0:00.258
,بِمَا كَسَبَتْ,"[knowing] what it has earned, [like any other]?",0:06.080
,وَجَعَلُوا لِلَّهِ شُرَكَاءَ,But to Allah they have attributed partners.,0:08.040
,قُلْ سَمُّوهُمْ,"Say, ""Name them.",0:13.226
,أَمْ تُنَبُِّٔونَهُ بِمَا,Or do you inform Him of that which He knows,0:15.506
,لَا يَعْلَمُ فِى الْأَرْضِ أَم بِظَهِرٍ مِّنَ الْقَوْلِ,"not upon the earth or of what is apparent [i.e., alleged] of speech?""",0:18.160
,بَلْ زُيِّنَ لِلَّذِينَ كَفَرُوا مَكْرُهُمْ,"Rather, their [own] plan has been made attractive to those who disbelieve,",0:24.680
,وَصُدُّوا عَنِ السَّبِيلِ,and they have been averted from the way.,0:28.573
,وَمَن يُضْلِلِ اللَّهُ فَمَا لَهُ مِنْ هَادٍ,And whomever Allah sends astray - there will be for him no guide.,0:32.573
13:34,لَّهُمْ عَذَابٌ فِى الْحَيَوةِ الدُّنْيَا,"For them will be punishment in the life of [this] world,",0:39.204
,لَّهُمْ عَذَابٌ فِى الْحَيَوةِ الدُّنْيَا,"For them will be punishment in the life of [this] world,",0:44.146
,وَلَعَذَابُ الْءَاخِرَةِ أَشَقُّ,and the punishment of the Hereafter is more severe.,0:49.133
,وَمَا لَهُم مِّنَ اللَّهِ مِن وَاقٍ,And they will not have from Allah any protector.,0:53.000
13:35,مَّثَلُ الْجَنَّةِ,"The example [i.e., description] of Paradise,",1:00.097
,الَّتِى وُعِدَ الْمُتَّقُونَ,"which the righteous have been promised,",1:02.546
,تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,is [that] beneath it rivers flow.,1:07.160
,تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,is [that] beneath it rivers flow.,1:13.413
,أُكُلُهَا دَائِمٌ وَظِلُّهَا,"Its fruit is lasting, and its shade.",1:17.600
,تِلْكَ عُقْبَى الَّذِينَ اتَّقَوا,"That is the consequence for the righteous,",1:24.720
,وَّعُقْبَى الْكَفِرِينَ النَّارُ,and the consequence for the disbelievers is the Fire.,1:28.346
,,,1:36.623
