Name	Start	Duration	Time Format	Type	Description
Marker 02	0:00.283	0:00.000	decimal	Cue	
CD Track 01	0:08.120	0:00.000	decimal	Cue	
CD Track 02	0:11.853	0:00.000	decimal	Track	
Marker 03	0:15.173	0:00.000	decimal	Track	
Marker 04	0:20.500	0:00.000	decimal	Cue	
Marker 05	0:26.828	0:00.000	decimal	Cue	
CD Track 03	0:29.706	0:00.000	decimal	Track	
Marker 06	0:34.219	0:00.000	decimal	Cue	
CD Track 04	0:38.013	0:00.000	decimal	Track	
Marker 07	0:39.874	0:00.000	decimal	Cue	
Marker 08	0:47.922	0:00.000	decimal	Cue	
Marker 09	0:55.083	0:00.000	decimal	Cue	
Marker 10	1:04.928	0:00.000	decimal	Cue	
