verse,ar,en,timestamps
32:12,وَلَوْ تَرَى إِذِ الْمُجْرِمُونَ نَاكِسُوا رُءُوسِهِمْ,If you could but see when the criminals are hanging their heads,0:19.065
,نَاكِسُوا رُءُوسِهِمْ عِندَ رَبِّهِمْ,"hanging their heads before their Lord,",0:24.400
,وَلَوْ تَرَى إِذِ الْمُجْرِمُونَ نَاكِسُوا رُءُوسِهِمْ,If you could but see when the criminals are hanging their heads,0:29.560
,عِندَ رَبِّهِمْ,"before their Lord,",0:34.706
,رَبَّنَا أَبْصَرْنَا وَسَمِعْنَا,"[saying], ""Our Lord, we have seen and heard,",0:36.226
,فَارْجِعْنَا,so return us [to the world];,0:39.613
,فَارْجِعْنَا,so return us [to the world];,0:41.266
,نَعْمَلْ صَلِحًا,we will work righteousness.,0:42.666
,إِنَّا مُوقِنُونَ,"Indeed, we are [now] certain.""",0:44.493
32:13,وَلَوْ شِئْنَا لَءَاتَيْنَا كُلَّ نَفْسٍ هُدَىهَا,"And if We had willed, We could have given every soul its guidance,",0:48.175
,وَلَكِنْ,but,0:53.266
,وَلَكِنْ حَقَّ الْقَوْلُ مِنِّى,but the word from Me will come into effect,0:54.693
,لَأَمْلَأَنَّ جَهَنَّمَ,"[that] ""I will surely fill Hell",0:58.080
,وَلَكِنْ حَقَّ الْقَوْلُ مِنِّى,but the word from Me will come into effect,1:01.373
,لَأَمْلَأَنَّ جَهَنَّمَ,"[that] ""I will surely fill Hell",1:04.466
,وَلَكِنْ حَقَّ الْقَوْلُ مِنِّى,but the word from Me will come into effect,1:07.560
,لَأَمْلَأَنَّ جَهَنَّمَ مِنَ الْجِنَّةِ وَالنَّاسِ,"[that] ""I will surely fill Hell with jinn and people",1:10.746
,مِنَ الْجِنَّةِ وَالنَّاسِ أَجْمَعِينَ,with jinn and people all together.,1:18.226
32:14,فَذُوقُوا بِمَا نَسِيتُمْ لِقَاءَ يَوْمِكُمْ هَذَا,"So taste [punishment] because you forgot the meeting of this, your Day;",1:22.903
,إِنَّا نَسِينَكُمْ,"indeed, We have [accordingly] forgotten you.",1:28.946
,وَذُوقُوا عَذَابَ الْخُلْدِ,And taste the punishment of eternity,1:32.160
,وَذُوقُوا عَذَابَ الْخُلْدِ بِمَا كُنتُمْ تَعْمَلُونَ,"And taste the punishment of eternity for what you used to do.""",1:35.306
,,,1:43.505
