Name	Start	Duration	Time Format	Type	Description
Marker 02	0:00.066	0:00.000	decimal	Cue	
CD Track 02	0:04.546	0:00.000	decimal	Track	
CD Track 01	0:08.280	0:00.000	decimal	Track	
CD Track 16	0:12.000	0:00.000	decimal	Track	
CD Track 03	0:18.320	0:00.000	decimal	Track	
CD Track 17	0:22.293	0:00.000	decimal	Track	
CD Track 04	0:26.960	0:00.000	decimal	Track	
CD Track 05	0:33.853	0:00.000	decimal	Track	
CD Track 06	0:38.653	0:00.000	decimal	Track	
CD Track 07	0:43.173	0:00.000	decimal	Track	
CD Track 18	0:47.000	0:00.000	decimal	Track	
CD Track 08	0:50.933	0:00.000	decimal	Track	
Marker 03	0:57.549	0:00.000	decimal	Cue	
CD Track 19	1:00.906	0:00.000	decimal	Track	
CD Track 10	1:05.933	0:00.000	decimal	Track	
CD Track 11	1:11.746	0:00.000	decimal	Track	
CD Track 12	1:20.520	0:00.000	decimal	Track	
CD Track 13	1:25.320	0:00.000	decimal	Track	
CD Track 20	1:27.600	0:00.000	decimal	Track	
CD Track 14	1:34.053	0:00.000	decimal	Track	
CD Track 15	1:37.360	0:00.000	decimal	Track	
Marker 04	1:44.396	0:00.000	decimal	Cue	
