verse,ar,en,timestamps
39:22,أَفَمَن شَرَحَ اللَّهُ صَدْرَهُ لِلْإِسْلَمِ,So is one whose breast Allah has expanded to [accept] Islam,0:00.066
,فَهُوَ عَلَى نُورٍ مِّن رَّبِّهِ,"and he is upon [i.e., guided by] a light from his Lord [like one whose heart rejects it]?",0:04.546
,فَوَيْلٌ لِّلْقَسِيَةِ قُلُوبُهُم,Then woe to those whose hearts are hardened,0:08.280
,مِّن ذِكْرِ اللَّهِ,against the remembrance of Allah.,0:12.000
,فَوَيْلٌ لِّلْقَسِيَةِ قُلُوبُهُم,Then woe to those whose hearts are hardened,0:18.320
,مِّن ذِكْرِ اللَّهِ,against the remembrance of Allah.,0:22.293
,أُولَئِكَ فِى ضَلَلٍ مُّبِينٍ,Those are in manifest error.,0:26.960
,أَفَمَن شَرَحَ اللَّهُ صَدْرَهُ لِلْإِسْلَمِ,So is one whose breast Allah has expanded to [accept] Islam,0:33.853
,فَهُوَ عَلَى نُورٍ مِّن رَّبِّهِ,"and he is upon [i.e., guided by] a light from his Lord [like one whose heart rejects it]?",0:38.653
,فَوَيْلٌ لِّلْقَسِيَةِ قُلُوبُهُم,Then woe to those whose hearts are hardened,0:43.173
,مِّن ذِكْرِ اللَّهِ,against the remembrance of Allah.,0:47.000
,أُولَئِكَ فِى ضَلَلٍ مُّبِينٍ,Those are in manifest error.,0:50.933
39:23,اللَّهُ نَزَّلَ أَحْسَنَ الْحَدِيثِ,Allah has sent down the best statement:,0:57.549
,كِتَبًا مُّتَشَبِهًا مَّثَانِىَ,a consistent Book wherein is reiteration.,1:00.906
,تَقْشَعِرُّ مِنْهُ جُلُودُ الَّذِينَ يَخْشَوْنَ رَبَّهُمْ,The skins shiver therefrom of those who fear their Lord;,1:05.933
,ثُمَّ تَلِينُ جُلُودُهُمْ وَقُلُوبُهُمْ إِلَى ذِكْرِ اللَّهِ,"then their skins and their hearts relax at the remembrance [i.e., mention] of Allah.",1:11.746
,ذَلِكَ هُدَى اللَّهِ,That is the guidance of Allah,1:20.520
,ذَلِكَ هُدَى اللَّهِ,That is the guidance of Allah,1:25.320
,يَهْدِى بِهِ مَن يَشَاءُ,by which He guides whom He wills.,1:27.600
,وَمَن يُضْلِلِ اللَّهُ,And one whom Allah sends astray -,1:34.053
,فَمَا لَهُ مِنْ هَادٍ,for him there is no guide.,1:37.360
,,,1:44.396
