Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:04.266	0:00.000	decimal	Track	
CD Track 12	0:10.000	0:00.000	decimal	Track	
CD Track 02	0:12.120	0:00.000	decimal	Track	
CD Track 03	0:17.760	0:00.000	decimal	Track	
CD Track 13	0:24.066	0:00.000	decimal	Track	
CD Track 04	0:25.893	0:00.000	decimal	Track	
Marker 02	0:31.642	0:00.000	decimal	Cue	
CD Track 05	0:37.453	0:00.000	decimal	Track	
CD Track 06	0:40.360	0:00.000	decimal	Track	
CD Track 07	0:44.506	0:00.000	decimal	Track	
Marker 04	0:53.297	0:00.000	decimal	Cue	
CD Track 11	0:57.493	0:00.000	decimal	Track	
CD Track 08	0:59.786	0:00.000	decimal	Track	
CD Track 09	1:03.893	0:00.000	decimal	Track	
CD Track 10	1:07.880	0:00.000	decimal	Track	
Marker 05	1:15.254	0:00.000	decimal	Cue	
