verse,ar,en,timestamps
11:41,وَقَالَ ٱرْكَبُوا فِيهَا,"And [Noah] said, ""Embark therein;",0:00.000
,وَقَالَ ٱرْكَبُوا فِيهَا,"And [Noah] said, ""Embark therein;",0:03.320
,بِسْمِ ٱللَّهِ مَجْرىٰهَا وَمُرْسَىٰهَآ ۚ,in the name of Allah [are] its course and its anchorage.,0:05.360
,إِنَّ رَبِّى لَغَفُورٌ رَّحِيمٌ,"Indeed, my Lord is Forgiving and Merciful.""",0:09.120
11:42,وَهِىَ تَجْرِى بِهِمْ فِى مَوْجٍ كَٱلْجِبَالِ,"And it sailed with them through waves like mountains,",0:13.774
,وَهِىَ تَجْرِى بِهِمْ فِى مَوْجٍ كَٱلْجِبَالِ,"And it sailed with them through waves like mountains,","0:22.853,0:20.770"
,وَنَادَىٰ نُوحٌ ٱبْنَهُۥ وَكَانَ فِى مَعْزِلٍ,"and Noah called to his son who was apart [from them],",0:29.360
,يَـٰبُنَىَّ ٱرْكَب مَّعَنَا,"""O my son, come aboard with us",0:33.826
,يَـٰبُنَىَّ ٱرْكَب مَّعَنَا,"""O my son, come aboard with us",0:37.613
,وَلَا تَكُن مَّعَ ٱلْكَـٰفِرِينَ,"and be not with the disbelievers.""",0:40.760
11:43,قَالَ سَـَٔاوِىٓ إِلَىٰ جَبَلٍ يَعْصِمُنِى مِنَ ٱلْمَآءِ,"[But] he said, ""I will take refuge on a mountain to protect me from the water.""",0:45.087
,قَالَ لَا عَاصِمَ ٱلْيَوْمَ مِنْ أَمْرِ ٱللَّهِ,"[Noah] said, ""There is no protector today from the decree of Allah,",0:52.680
,قَالَ لَا عَاصِمَ ٱلْيَوْمَ مِنْ أَمْرِ ٱللَّهِ,"[Noah] said, ""There is no protector today from the decree of Allah,",0:58.120
,قَالَ لَا عَاصِمَ ٱلْيَوْمَ مِنْ أَمْرِ ٱللَّهِ,"[Noah] said, ""There is no protector today from the decree of Allah,",1:03.693
,إِلَّا مَن رَّحِمَ ۚ,"except for whom He gives mercy.""",1:07.893
,وَحَالَ بَيْنَهُمَا ٱلْمَوْجُ,"And the waves came between them,",1:10.173
,وَحَالَ بَيْنَهُمَا ٱلْمَوْجُ,"And the waves came between them,",1:15.493
,فَكَانَ مِنَ ٱلْمُغْرَقِينَ,and he was among the drowned.,1:17.733
,,,1:21.472
