Name	Start	Duration	Time Format	Type	Description
Marker 01	0:02.841	0:00.000	decimal	Cue	
CD Track 17	0:06.613	0:00.000	decimal	Track	
CD Track 01	0:11.000	0:00.000	decimal	Track	
CD Track 18	0:14.986	0:00.000	decimal	Track	
Marker 02	0:19.072	0:00.000	decimal	Cue	
CD Track 02	0:20.173	0:00.000	decimal	Track	
CD Track 03	0:22.600	0:00.000	decimal	Track	
CD Track 04	0:26.053	0:00.000	decimal	Track	
Marker 03	0:31.282	0:00.000	decimal	Cue	
CD Track 05	0:34.746	0:00.000	decimal	Track	
CD Track 06	0:36.786	0:00.000	decimal	Track	
CD Track 07	0:40.066	0:00.000	decimal	Track	
CD Track 08	0:42.506	0:00.000	decimal	Track	
CD Track 09	0:47.093	0:00.000	decimal	Track	
CD Track 20	0:48.506	0:00.000	decimal	Track	
CD Track 10	0:51.026	0:00.000	decimal	Track	
CD Track 11	0:55.213	0:00.000	decimal	Track	
Marker 04	1:00.449	0:00.000	decimal	Cue	
CD Track 19	1:03.573	0:00.000	decimal	Track	
CD Track 12	1:06.973	0:00.000	decimal	Track	
CD Track 13	1:11.186	0:00.000	decimal	Track	
Marker 05	1:15.677	0:00.000	decimal	Cue	
CD Track 14	1:18.120	0:00.000	decimal	Track	
CD Track 15	1:21.160	0:00.000	decimal	Track	
Marker 06	1:27.863	0:00.000	decimal	Cue	
CD Track 16	1:33.320	0:00.000	decimal	Track	
Marker 08	1:39.319	0:00.000	decimal	Cue	
