Name	Start	Duration	Time Format	Type	Description
Marker 01	0:04.118	0:00.000	decimal	Cue	
CD Track 01	0:08.746	0:00.000	decimal	Track	
CD Track 02	0:13.973	0:00.000	decimal	Track	
CD Track 03	0:17.600	0:00.000	decimal	Track	
CD Track 04	0:21.160	0:00.000	decimal	Track	
CD Track 05	0:23.426	0:00.000	decimal	Track	
Marker 02	0:26.083	0:00.000	decimal	Cue	
CD Track 07	0:29.720	0:00.000	decimal	Track	
CD Track 06	0:32.066	0:00.000	decimal	Track	
CD Track 08	0:33.880	0:00.000	decimal	Track	
CD Track 09	0:37.613	0:00.000	decimal	Track	
CD Track 10	0:40.760	0:00.000	decimal	Track	
CD Track 11	0:43.453	0:00.000	decimal	Track	
Marker 03	0:48.176	0:00.000	decimal	Cue	
