Name	Start	Duration	Time Format	Type	Description
Marker 01	0:02.129	0:00.000	decimal	Cue	
CD Track 14	0:04.506	0:00.000	decimal	Track	
CD Track 01	0:09.026	0:00.000	decimal	Track	
CD Track 15	0:11.240	0:00.000	decimal	Track	
CD Track 02	0:13.640	0:00.000	decimal	Track	
CD Track 03	0:15.866	0:00.000	decimal	Track	
Marker 02	0:18.850	0:00.000	decimal	Cue	
CD Track 04	0:24.533	0:00.000	decimal	Track	
CD Track 05	0:29.600	0:00.000	decimal	Track	
CD Track 06	0:34.693	0:00.000	decimal	Track	
Marker 03	0:37.648	0:00.000	decimal	Cue	
CD Track 07	0:39.613	0:00.000	decimal	Track	
CD Track 08	0:45.266	0:00.000	decimal	Track	
Marker 04	0:49.551	0:00.000	decimal	Cue	
CD Track 09	0:53.506	0:00.000	decimal	Track	
CD Track 10	0:56.400	0:00.000	decimal	Track	
CD Track 11	0:58.693	0:00.000	decimal	Track	
CD Track 12	1:01.226	0:00.000	decimal	Track	
Marker 05	1:04.054	0:00.000	decimal	Cue	
CD Track 13	1:06.093	0:00.000	decimal	Track	
Marker 06	1:12.344	0:00.000	decimal	Cue	
