verse,ar,en,timestamps
19:85,يَوْمَ نَحْشُرُ الْمُتَّقِينَ,On the Day We will gather the righteous,0:00.254
,إِلَى الرَّحْمَنِ,to the Most Merciful,0:02.613
,يَوْمَ نَحْشُرُ الْمُتَّقِينَ,On the Day We will gather the righteous,0:06.906
,إِلَى الرَّحْمَنِ وَفْدًا,to the Most Merciful as a delegation,0:09.386
19:86,وَنَسُوقُ الْمُجْرِمِينَ إِلَى جَهَنَّمَ وِرْدًا,And will drive the criminals to Hell in thirst,0:12.029
,وَنَسُوقُ الْمُجْرِمِينَ إِلَى جَهَنَّمَ وِرْدًا,And will drive the criminals to Hell in thirst,0:17.453
19:87,لَّا يَمْلِكُونَ الشَّفَعَةَ,None will have [power of] intercession,0:23.030
,إِلَّا مَنِ اتَّخَذَ عِندَ الرَّحْمَنِ عَهْدًا,except he who had taken from the Most Merciful a covenant.,0:25.520
19:88,وَقَالُوا اتَّخَذَ الرَّحْمَنُ وَلَدًا,"And they say, ""The Most Merciful has taken [for Himself] a son.""",0:30.725
19:89,لَّقَدْ جِئْتُمْ شَئًْا إِدًّا,You have done an atrocious thing.,0:34.883
19:90,تَكَادُ السَّمَوَتُ يَتَفَطَّرْنَ مِنْهُ,The heavens almost rupture therefrom,0:38.386
,وَتَنشَقُّ الْأَرْضُ,and the earth splits open,0:42.506
,وَتَخِرُّ الْجِبَالُ,and the mountains collapse,0:45.066
,تَكَادُ السَّمَوَتُ يَتَفَطَّرْنَ مِنْهُ,The heavens almost rupture therefrom,0:49.880
,وَتَنشَقُّ الْأَرْضُ,and the earth splits open,0:53.760
,وَتَنشَقُّ الْأَرْضُ,and the earth splits open,0:56.906
,وَتَخِرُّ الْجِبَالُ هَدًّا,and the mountains collapse in devastation,0:59.880
19:91,أَن دَعَوْا لِلرَّحْمَنِ وَلَدًا,That they attribute to the Most Merciful a son.,1:03.074
19:92,وَمَا يَنبَغِى لِلرَّحْمَنِ,And it is not appropriate for the Most Merciful,1:07.669
,أَن يَتَّخِذَ وَلَدًا,that He should take a son.,1:11.640
,وَمَا يَنبَغِى لِلرَّحْمَنِ,And it is not appropriate for the Most Merciful,1:14.400
,أَن يَتَّخِذَ وَلَدًا,that He should take a son.,1:17.626
,,,1:19.995
