verse,ar,en,timestamps
50:29,وَمَا أَنَا بِظَلَّمٍ لِّلْعَبِيدِ,"and never will I be unjust to the servants.""",0:00.125
50:30,يَوْمَ نَقُولُ لِجَهَنَّمَ,"On the Day We will say to Hell,",0:06.876
,يَوْمَ نَقُولُ لِجَهَنَّمَ هَلِ امْتَلَأْتِ,"On the Day We will say to Hell, ""Have you been filled?""","0:12.120,0:11.339"
,يَوْمَ نَقُولُ لِجَهَنَّمَ هَلِ امْتَلَأْتِ,"On the Day We will say to Hell, ""Have you been filled?""",0:17.680
,وَتَقُولُ,"and it will say,",0:22.320
,وَتَقُولُ هَلْ مِن مَّزِيدٍ,"and it will say, ""Are there some more,""",0:25.760
,يَوْمَ نَقُولُ لِجَهَنَّمَ هَلِ امْتَلَأْتِ,"On the Day We will say to Hell, ""Have you been filled?""",0:33.360
,يَوْمَ نَقُولُ لِجَهَنَّمَ هَلِ امْتَلَأْتِ,"On the Day We will say to Hell, ""Have you been filled?""",0:38.373
,وَتَقُولُ,"and it will say,",0:42.720
,وَتَقُولُ هَلْ مِن مَّزِيدٍ,"and it will say, ""Are there some more,""",0:45.600
,,,0:53.703
