Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.330	0:00.000	decimal	Cue	
CD Track 03	0:04.120	0:00.000	decimal	Track	
CD Track 05	0:06.760	0:00.000	decimal	Track	
CD Track 06	0:09.413	0:00.000	decimal	Track	
CD Track 14	0:12.013	0:00.000	decimal	Track	
CD Track 15	0:14.546	0:00.000	decimal	Track	
CD Track 16	0:19.013	0:00.000	decimal	Track	
CD Track 17	0:21.533	0:00.000	decimal	Track	
CD Track 19	0:24.826	0:00.000	decimal	Track	
CD Track 20	0:31.360	0:00.000	decimal	Track	
CD Track 21	0:34.973	0:00.000	decimal	Track	
CD Track 22	0:38.706	0:00.000	decimal	Track	
CD Track 24	0:43.053	0:00.000	decimal	Track	
Marker 02	0:48.851	0:00.000	decimal	Cue	
