Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.072	0:00.000	decimal	Cue	
Marker 02	0:03.619	0:00.000	decimal	Cue	
Marker 03	0:08.099	0:00.000	decimal	Cue	
Marker 04	0:13.050	0:00.000	decimal	Cue	
CD Track 02	0:14.306	0:00.000	decimal	Track	
Marker 05	0:18.453	0:00.000	decimal	Cue	
Marker 06	0:23.834	0:00.000	decimal	Cue	
CD Track 05	0:27.853	0:00.000	decimal	Track	
CD Track 06	0:32.786	0:00.000	decimal	Track	
CD Track 07	0:36.880	0:00.000	decimal	Track	
CD Track 08	0:38.906	0:00.000	decimal	Track	
Marker 07	0:40.194	0:00.000	decimal	Cue	
Marker 08	0:43.827	0:00.000	decimal	Cue	
Marker 09	0:50.309	0:00.000	decimal	Cue	
Marker 10	0:54.953	0:00.000	decimal	Cue	
