verse,ar,en,timestamps
104:1,وَيْلٌ لِّكُلِّ هُمَزَةٍ لُّمَزَةٍ,Woe to every scorner and mocker,0:00.072
104:2,ٱلَّذِى جَمَعَ مَالًا وَعَدَّدَهُۥ,Who collects wealth and [continuously] counts it.,0:03.619
104:3,يَحْسَبُ أَنَّ مَالَهُۥٓ أَخْلَدَهُۥ,He thinks that his wealth will make him immortal.,0:08.099
104:4,كَلَّا ۖ,No!,0:13.050
,لَيُنۢبَذَنَّ فِى ٱلْحُطَمَةِ,He will surely be thrown into the Crusher.,0:14.306
104:5,وَمَآ أَدْرَىٰكَ مَا ٱلْحُطَمَةُ,And what can make you know what is the Crusher?,0:18.453
104:6,نَارُ ٱللَّهِ,"It is the fire of Allah,",0:23.834
,وَمَآ أَدْرَىٰكَ مَا ٱلْحُطَمَةُ,And what can make you know what is the Crusher?,0:27.853
,نَارُ ٱللَّهِ,"It is the fire of Allah,",0:32.786
,نَارُ ٱللَّهِ,"It is the fire of Allah,",0:36.880
,ٱلْمُوقَدَةُ,"[eternally] fueled,",0:38.906
104:7,ٱلَّتِى تَطَّلِعُ عَلَى ٱلْأَفْـِٔدَةِ,Which mounts directed at the hearts.,0:40.194
104:8,إِنَّهَا عَلَيْهِم مُّؤْصَدَةٌ,"Indeed, it [i.e., Hellfire] will be closed down upon them",0:43.827
104:9,فِى عَمَدٍ مُّمَدَّدَةٍۭ,In extended columns.,0:50.309
,,,0:54.953
