verse,ar,en,timestamps
33:21,لَّقَدْ كَانَ لَكُمْ فِى رَسُولِ ٱللَّهِ,There has certainly been for you in the Messenger of Allah,0:00.000
,أُسْوَةٌ حَسَنَةٌ,an excellent pattern,0:03.720
,لِّمَن كَانَ يَرْجُوا ٱللَّهَ وَٱلْيَوْمَ ٱلْـَٔاخِرَ,for anyone whose hope is in Allah and the Last Day,0:05.800
,وَذَكَرَ ٱللَّهَ كَثِيرًا,and [who] remembers Allah often.,0:10.973
33:22,وَلَمَّا رَءَا ٱلْمُؤْمِنُونَ ٱلْأَحْزَابَ,"And when the believers saw the companies,",0:13.963
,قَالُوا,"they said,",0:19.480
,قَالُوا,"they said,",0:20.720
,هَـٰذَا مَا وَعَدَنَا ٱللَّهُ وَرَسُولُهُۥ,"""This is what Allah and His Messenger had promised us,",0:21.573
,وَصَدَقَ ٱللَّهُ وَرَسُولُهُۥ ۚ,"and Allah and His Messenger spoke the truth.""",0:25.986
,وَمَا زَادَهُمْ إِلَّآ إِيمَـٰنًا وَتَسْلِيمًا,And it increased them only in faith and acceptance.,0:29.093
33:23,مِّنَ ٱلْمُؤْمِنِينَ رِجَالٌ,Among the believers are men,0:36.129
,صَدَقُوا مَا عَـٰهَدُوا ٱللَّهَ عَلَيْهِ ۖ,true to what they promised Allah.,0:39.760
,فَمِنْهُم مَّن قَضَىٰ نَحْبَهُۥ,"Among them is he who has fulfilled his vow [to the death],",0:45.133
,وَمِنْهُم مَّن يَنتَظِرُ ۖ,and among them is he who awaits [his chance].,0:49.000
,وَمَا بَدَّلُوا تَبْدِيلًا,And they did not alter [the terms of their commitment] by any alteration -,0:52.760
33:24,لِّيَجْزِىَ ٱللَّهُ ٱلصَّـٰدِقِينَ بِصِدْقِهِمْ,That Allah may reward the truthful for their truth,0:56.208
,وَيُعَذِّبَ ٱلْمُنَـٰفِقِينَ إِن شَآءَ,and punish the hypocrites if He wills,1:01.106
,أَوْ يَتُوبَ عَلَيْهِمْ ۚ,or accept their repentance.,1:08.186
,إِنَّ ٱللَّهَ كَانَ غَفُورًا رَّحِيمًا,"Indeed, Allah is ever Forgiving and Merciful.",1:11.933
,,,1:20.263
