Name	Start	Duration	Time Format	Type	Description
Marker 01	3:37.499	0:00.000	decimal	Cue	
CD Track 01	3:43.200	0:00.000	decimal	Track	
CD Track 02	3:47.920	0:00.000	decimal	Track	
CD Track 03	3:52.000	0:00.000	decimal	Track	
CD Track 04	3:56.106	0:00.000	decimal	Track	
Marker 02	4:00.383	0:00.000	decimal	Cue	
CD Track 05	4:04.600	0:00.000	decimal	Track	
CD Track 06	4:09.706	0:00.000	decimal	Track	
CD Track 07	4:14.626	0:00.000	decimal	Track	
CD Track 09	4:17.733	0:00.000	decimal	Track	
Marker 03	4:24.230	0:00.000	decimal	Cue	
