verse,ar,en,timestamps
15:26,وَلَقَدْ خَلَقْنَا ٱلْإِنسَـٰنَ,And We did certainly create man,2:07.139
,مِن صَلْصَـٰلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,out of clay from an altered black mud.,2:10.813
15:27,وَٱلْجَآنَّ خَلَقْنَـٰهُ مِن قَبْلُ,And the jinn We created before,2:18.538
,مِن نَّارِ ٱلسَّمُومِ,from scorching fire.,2:25.666
15:28,وَإِذْ قَالَ رَبُّكَ لِلْمَلَـٰٓئِكَةِ,"And [mention, O Muhammad], when your Lord said to the angels,",2:29.530
,إِنِّى خَـٰلِقٌۢ بَشَرًا,"""I will create a human being",2:35.173
,إِنِّى خَـٰلِقٌۢ بَشَرًا,"""I will create a human being",2:39.346
,مِّن صَلْصَـٰلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,out of clay from an altered black mud.,2:42.786
15:29,فَإِذَا سَوَّيْتُهُۥ,And when I have proportioned him,2:48.482
,وَنَفَخْتُ فِيهِ مِن رُّوحِى,"and breathed into him of My [created] soul,",2:50.706
,فَقَعُوا لَهُۥ سَـٰجِدِينَ,"then fall down to him in prostration.""",2:53.560
15:30,فَسَجَدَ ٱلْمَلَـٰٓئِكَةُ,So the angels prostrated -,2:57.248
,كُلُّهُمْ أَجْمَعُونَ,"all of them entirely,",3:02.706
15:31,إِلَّآ إِبْلِيسَ,Except Iblees;,3:06.892
,أَبَىٰٓ أَن يَكُونَ مَعَ ٱلسَّـٰجِدِينَ,he refused to be with those who prostrated.,3:09.320
15:32,قَالَ يَـٰٓإِبْلِيسُ,"[Allah] said, ""O Iblees,",3:14.836
,مَا لَكَ أَلَّا تَكُونَ مَعَ ٱلسَّـٰجِدِينَ,"what is [the matter] with you that you are not with those who prostrate?""",3:17.253
15:33,قَالَ لَمْ أَكُن لِّأَسْجُدَ لِبَشَرٍ,"He said, ""Never would I prostrate to a human",3:23.240
,خَلَقْتَهُۥ مِن صَلْصَـٰلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,"whom You created out of clay from an altered black mud.""",3:26.826
15:34,قَالَ فَٱخْرُجْ مِنْهَا,"[Allah] said, ""Then depart from it,",3:33.943
,فَإِنَّكَ رَجِيمٌ,"for indeed, you are expelled.",3:36.360
15:35,وَإِنَّ عَلَيْكَ ٱللَّعْنَةَ إِلَىٰ يَوْمِ ٱلدِّينِ,"And indeed, upon you is the curse until the Day of Recompense.""",3:41.836
,,,3:48.428
