Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.321	0:00.000	decimal	Cue	
CD Track 01	0:03.880	0:00.000	decimal	Track	
Marker 02	0:11.024	0:00.000	decimal	Cue	
CD Track 02	0:13.280	0:00.000	decimal	Track	
Marker 03	0:15.889	0:00.000	decimal	Cue	
CD Track 03	0:21.586	0:00.000	decimal	Track	
Marker 04	0:24.744	0:00.000	decimal	Cue	
CD Track 04	0:26.733	0:00.000	decimal	Track	
Marker 05	0:37.768	0:00.000	decimal	Cue	
Marker 06	0:43.671	0:00.000	decimal	Cue	
CD Track 05	0:47.066	0:00.000	decimal	Track	
Marker 08	0:51.432	0:00.000	decimal	Cue	
CD Track 06	0:56.826	0:00.000	decimal	Track	
Marker 09	0:59.993	0:00.000	decimal	Cue	
CD Track 07	1:02.826	0:00.000	decimal	Track	
Marker 10	1:07.104	0:00.000	decimal	Cue	
