verse,ar,en,timestamps
83:29,إِنَّ ٱلَّذِينَ أَجْرَمُوا,"Indeed, those who committed crimes",0:00.321
,كَانُوا مِنَ ٱلَّذِينَ ءَامَنُوا يَضْحَكُونَ,used to laugh at those who believed.,0:03.880
83:30,وَإِذَا مَرُّوا بِهِمْ,"And when they passed by them,",0:11.024
,يَتَغَامَزُونَ,they would exchange derisive glances.,0:13.280
83:31,وَإِذَا ٱنقَلَبُوٓا إِلَىٰٓ أَهْلِهِمُ,"And when they returned to their people,",0:15.889
,ٱنقَلَبُوا فَكِهِينَ,they would return jesting.,0:21.586
83:32,وَإِذَا رَأَوْهُمْ,"And when they saw them,",0:24.744
,قَالُوٓا إِنَّ هَـٰٓؤُلَآءِ لَضَآلُّونَ,"they would say, ""Indeed, those are truly lost.""",0:26.733
83:33,وَمَآ أُرْسِلُوا عَلَيْهِمْ حَـٰفِظِينَ,But they had not been sent as guardians over them.,0:37.768
83:34,فَٱلْيَوْمَ ٱلَّذِينَ ءَامَنُوا,So Today those who believed,0:43.671
,مِنَ ٱلْكُفَّارِ يَضْحَكُونَ,"are laughing at the disbelievers,",0:47.066
83:35,عَلَى ٱلْأَرَآئِكِ,"On adorned couches,",0:51.432
,يَنظُرُونَ,observing.,0:56.826
83:36,هَلْ ثُوِّبَ ٱلْكُفَّارُ,Have the disbelievers [not] been rewarded [this Day],0:59.993
,مَا كَانُوا يَفْعَلُونَ,for what they used to do?,1:02.826
,,,1:07.104
