Name	Start	Duration	Time Format	Type	Description
Marker 19	0:00.291	0:00.000	decimal	Cue	
Marker 20	0:06.000	0:00.000	decimal	Cue	
Marker 21	0:11.436	0:00.000	decimal	Cue	
Marker 22	0:16.802	0:00.000	decimal	Cue	
Marker 23	0:21.138	0:00.000	decimal	Cue	
CD Track 09	0:27.893	0:00.000	decimal	Track	
Marker 24	0:34.677	0:00.000	decimal	Cue	
Marker 25	0:40.895	0:00.000	decimal	Cue	
Marker 26	0:46.977	0:00.000	decimal	Cue	
Marker 27	0:53.664	0:00.000	decimal	Cue	
Marker 28	1:00.352	0:00.000	decimal	Cue	
CD Track 10	1:01.800	0:00.000	decimal	Track	
Marker 01	1:06.557	0:00.000	decimal	Cue	
CD Track 01	1:07.866	0:00.000	decimal	Track	
Marker 02	1:13.644	0:00.000	decimal	Cue	
Marker 03	1:20.544	0:00.000	decimal	Cue	
CD Track 04	1:23.013	0:00.000	decimal	Track	
CD Track 02	1:26.040	0:00.000	decimal	Track	
Marker 05	1:27.402	0:00.000	decimal	Cue	
CD Track 03	1:29.733	0:00.000	decimal	Track	
Marker 06	1:34.370	0:00.000	decimal	Cue	
Marker 07	1:38.763	0:00.000	decimal	Cue	
CD Track 08	1:39.786	0:00.000	decimal	Track	
Marker 08	1:42.455	0:00.000	decimal	Cue	
Marker 09	1:46.652	0:00.000	decimal	Cue	
Marker 10	1:51.324	0:00.000	decimal	Cue	
CD Track 05	1:53.026	0:00.000	decimal	Track	
Marker 11	1:56.914	0:00.000	decimal	Cue	
CD Track 06	2:00.920	0:00.000	decimal	Track	
CD Track 07	2:03.133	0:00.000	decimal	Track	
Marker 12	2:06.283	0:00.000	decimal	Cue	
Marker 14	2:11.969	0:00.000	decimal	Cue	
Marker 15	2:16.266	0:00.000	decimal	Cue	
Marker 16	2:21.579	0:00.000	decimal	Cue	
Marker 17	2:26.782	0:00.000	decimal	Cue	
Marker 18	2:31.169	0:00.000	decimal	Cue	
