Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.776	0:00.000	decimal	Cue	
CD Track 17	0:01.920	0:00.000	decimal	Track	
CD Track 01	0:08.493	0:00.000	decimal	Track	
CD Track 18	0:11.213	0:00.000	decimal	Track	
CD Track 02	0:15.200	0:00.000	decimal	Track	
CD Track 19	0:16.493	0:00.000	decimal	Track	
CD Track 03	0:22.773	0:00.000	decimal	Track	
CD Track 20	0:24.280	0:00.000	decimal	Track	
CD Track 04	0:27.453	0:00.000	decimal	Track	
CD Track 21	0:30.066	0:00.000	decimal	Track	
CD Track 05	0:34.173	0:00.000	decimal	Track	
CD Track 09	0:35.733	0:00.000	decimal	Track	
CD Track 10	0:40.133	0:00.000	decimal	Track	
CD Track 06	0:43.186	0:00.000	decimal	Track	
CD Track 07	0:46.826	0:00.000	decimal	Track	
CD Track 11	0:52.706	0:00.000	decimal	Track	
CD Track 22	0:55.040	0:00.000	decimal	Track	
CD Track 12	0:59.426	0:00.000	decimal	Track	
CD Track 13	1:03.306	0:00.000	decimal	Track	
CD Track 14	1:05.546	0:00.000	decimal	Track	
CD Track 15	1:08.453	0:00.000	decimal	Track	
CD Track 16	1:13.146	0:00.000	decimal	Track	
Marker 02	1:16.695	0:00.000	decimal	Cue	
