Name	Start	Duration	Time Format	Type	Description
Marker 01	0:39.478	0:00.000	decimal	Cue	
CD Track 01	0:44.120	0:00.000	decimal	Cue	
CD Track 02	0:48.946	0:00.000	decimal	Cue	
Marker 02	0:52.586	0:00.000	decimal	Cue	
CD Track 03	0:56.426	0:00.000	decimal	Track	
Marker 03	1:02.023	0:00.000	decimal	Cue	
Marker 04	1:07.333	0:00.000	decimal	Cue	
Marker 05	1:13.275	0:00.000	decimal	Cue	
Marker 06	1:17.837	0:00.000	decimal	Cue	
Marker 07	1:25.186	0:00.000	decimal	Cue	
Marker 08	1:31.103	0:00.000	decimal	Cue	
Marker 09	1:37.581	0:00.000	decimal	Cue	
CD Track 04	1:43.293	0:00.000	decimal	Track	
Marker 10	1:47.934	0:00.000	decimal	Cue	
