verse,ar,en,timestamps
51:17,كَانُوا قَلِيلًا مِّنَ الَّيْلِ مَا يَهْجَعُونَ,"They used to sleep but little of the night,",0:11.473
51:18,وَبِالْأَسْحَارِ هُمْ يَسْتَغْفِرُونَ,"And in the hours before dawn they would ask forgiveness,",0:19.000
51:19,وَفِى أَمْوَلِهِمْ حَقٌّ,And from their properties was [given] the right,0:24.806
,لِّلسَّائِلِ وَالْمَحْرُومِ,of the [needy] petitioner and the deprived.,0:28.613
51:20,وَفِى الْأَرْضِ ءَايَتٌ لِّلْمُوقِنِينَ,And on the earth are signs for the certain [in faith],0:34.100
51:21,وَفِى أَنفُسِكُمْ,And in yourselves.,0:41.574
,أَفَلَا تُبْصِرُونَ,Then will you not see?,0:44.746
51:22,وَفِى السَّمَاءِ رِزْقُكُمْ,And in the heaven is your provision,0:48.970
,وَمَا تُوعَدُونَ,and whatever you are promised.,0:53.186
51:23,فَوَرَبِّ السَّمَاءِ وَالْأَرْضِ,"Then by the Lord of the heaven and earth,",0:56.531
,إِنَّهُ لَحَقٌّ,"indeed, it is truth -",1:01.226
,إِنَّهُ لَحَقٌّ,"indeed, it is truth -",1:05.573
,مِّثْلَ مَا أَنَّكُمْ تَنطِقُونَ,just as [sure as] it is that you are speaking.,1:08.506
51:24,هَلْ أَتَىكَ حَدِيثُ,Has there reached you the story,1:14.839
,ضَيْفِ إِبْرَهِيمَ الْمُكْرَمِينَ,of the honored guests of Abraham? -,1:17.253
51:25,إِذْ دَخَلُوا عَلَيْهِ,When they entered upon him,1:23.606
,فَقَالُوا سَلَمًا,"and said, ""[We greet you with] peace.""",1:25.933
,قَالَ سَلَمٌ,"He answered, ""[And upon you] peace;",1:29.053
,قَوْمٌ مُّنكَرُونَ,"[you are] a people unknown.""",1:30.906
51:26,فَرَاغَ إِلَى أَهْلِهِ فَجَاءَ بِعِجْلٍ سَمِينٍ,Then he went to his family and came with a fat [roasted] calf.,1:35.494
51:27,فَقَرَّبَهُ إِلَيْهِمْ,And placed it near them;,1:43.252
,قَالَ أَلَا تَأْكُلُونَ,"he said, ""Will you not eat?""",1:46.026
51:28,فَأَوْجَسَ مِنْهُمْ خِيفَةً,And he felt from them apprehension.,1:49.623
,قَالُوا لَا تَخَفْ,"They said, ""Fear not,""",1:53.640
,قَالُوا لَا تَخَفْ,"They said, ""Fear not,""",1:56.226
,وَبَشَّرُوهُ بِغُلَمٍ عَلِيمٍ,and gave him good tidings of a learned boy.,1:58.200
,,,2:03.180
