verse,ar,en,timestamps
25:63,وَعِبَادُ الرَّحْمَنِ,And the servants of the Most Merciful,0:00.000
,الَّذِينَ يَمْشُونَ عَلَى الْأَرْضِ هَوْنًا,"are those who walk upon the earth easily,",0:02.600
,وَإِذَا خَاطَبَهُمُ الْجَهِلُونَ,"and when the ignorant address them [harshly],",0:07.253
,قَالُوا سَلَمًا,"they say [words of] peace,",0:11.093
25:64,وَالَّذِينَ يَبِيتُونَ,And those who spend [part of] the night,0:13.736
,لِرَبِّهِمْ سُجَّدًا وَقِيَمًا,to their Lord prostrating and standing [in prayer],0:16.333
25:65,وَالَّذِينَ يَقُولُونَ,"And those who say,",0:21.290
,رَبَّنَا اصْرِفْ عَنَّا عَذَابَ جَهَنَّمَ,"""Our Lord, avert from us the punishment of Hell.",0:24.133
25:66,إِنَّ عَذَابَهَا كَانَ غَرَامًا,"Indeed, its punishment is ever adhering;",0:29.813
,إِنَّهَا سَاءَتْ مُسْتَقَرًّا وَمُقَامًا,"Indeed, it is evil as a settlement and residence.""",0:35.502
25:67,وَالَّذِينَ إِذَا أَنفَقُوا,"And [they are] those who, when they spend,",0:43.938
,لَمْ يُسْرِفُوا وَلَمْ يَقْتُرُوا,do so not excessively or sparingly,0:47.880
,وَكَانَ بَيْنَ ذَلِكَ قَوَامًا,"but are ever, between that, [justly] moderate",0:51.693
25:68,وَالَّذِينَ لَا يَدْعُونَ مَعَ اللَّهِ إِلَهًا ءَاخَرَ,And those who do not invoke with Allah another deity,0:56.420
,وَلَا يَقْتُلُونَ النَّفْسَ الَّتِى حَرَّمَ اللَّهُ,"or kill the soul which Allah has forbidden [to be killed],",1:03.586
,إِلَّا بِالْحَقِّ,"except by right,",1:09.680
,وَلَا يَزْنُونَ,and do not commit unlawful sexual intercourse.,1:12.680
,وَمَن يَفْعَلْ ذَلِكَ يَلْقَ أَثَامًا,And whoever should do that will meet a penalty.,1:16.053
25:69,يُضَعَفْ لَهُ الْعَذَابُ يَوْمَ الْقِيَمَةِ,"Multiplied for him is the punishment on the Day of Resurrection,",1:22.445
,وَيَخْلُدْ فِيهِ مُهَانًا,and he will abide therein humiliated -,1:27.053
25:70,إِلَّا مَن تَابَ وَءَامَنَ وَعَمِلَ عَمَلًا صَلِحًا,"Except for those who repent, believe and do righteous work.",1:31.373
,فَأُولَئِكَ يُبَدِّلُ اللَّهُ سَئَِّاتِهِمْ حَسَنَتٍ,For them Allah will replace their evil deeds with good.,1:39.373
,وَكَانَ اللَّهُ غَفُورًا رَّحِيمًا,And ever is Allah Forgiving and Merciful.,1:48.480
,,,1:54.055
