verse,ar,en,timestamps
28:22,وَلَمَّا تَوَجَّهَ تِلْقَآءَ مَدْيَنَ,"And when he directed himself toward Madyan,",0:00.067
,قَالَ عَسَىٰ رَبِّىٓ أَن يَهْدِيَنِى سَوَآءَ ٱلسَّبِيلِ,"he said, ""Perhaps my Lord will guide me to the sound way.""",0:06.280
28:23,وَلَمَّا وَرَدَ مَآءَ مَدْيَنَ,"And when he came to the water [i.e., well] of Madyan,",0:12.827
,وَجَدَ عَلَيْهِ أُمَّةً مِّنَ ٱلنَّاسِ يَسْقُونَ,"he found there a crowd of people watering [their flocks],",0:17.853
,وَوَجَدَ مِن دُونِهِمُ ٱمْرَأَتَيْنِ تَذُودَانِ ۖ,and he found aside from them two women holding back [their flocks].,0:24.426
,قَالَ مَا خَطْبُكُمَا ۖ,"He said, ""What is your circumstance?""",0:30.000
,قَالَتَا لَا نَسْقِى حَتَّىٰ يُصْدِرَ ٱلرِّعَآءُ ۖ,"They said, ""We do not water until the shepherds dispatch [their flocks];",0:33.426
,وَأَبُونَا شَيْخٌ كَبِيرٌ,"and our father is an old man.""",0:38.693
28:24,فَسَقَىٰ لَهُمَا,So he watered [their flocks] for them;,0:42.840
,ثُمَّ تَوَلَّىٰٓ إِلَى ٱلظِّلِّ,then he went back to the shade,0:44.626
,فَقَالَ,"and said,",0:47.986
,رَبِّ إِنِّى لِمَآ أَنزَلْتَ إِلَىَّ مِنْ خَيْرٍ فَقِيرٌ,"""My Lord, indeed I am, for whatever good You would send down to me, in need.""",0:48.866
,,,0:55.249
