verse,ar,en,timestamps
3:15,قُلْ أَؤُنَبِّئُكُم بِخَيْرٍ مِّن ذَٰلِكُمْ ۚ,"Say, ""Shall I inform you of [something] better than that?",0:01.106
,لِلَّذِينَ ٱتَّقَوْا عِندَ رَبِّهِمْ جَنَّـٰتٌ,For those who fear Allah will be gardens in the presence of their Lord,0:07.186
,تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ,"beneath which rivers flow,",0:13.533
,لِلَّذِينَ ٱتَّقَوْا عِندَ رَبِّهِمْ جَنَّـٰتٌ,For those who fear Allah will be gardens in the presence of their Lord,0:18.026
,جَنَّـٰتٌ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ,"gardens in the presence of their Lord beneath which rivers flow,",0:24.466
,خَـٰلِدِينَ فِيهَا,"wherein they abide eternally,",0:30.026
,خَـٰلِدِينَ فِيهَا وَأَزْوَٰجٌ مُّطَهَّرَةٌ,"wherein they abide eternally, and purified spouses",0:32.826
,وَأَزْوَٰجٌ مُّطَهَّرَةٌ وَرِضْوَٰنٌ مِّنَ ٱللَّهِ ۗ,and purified spouses and approval from Allah.,0:38.293
,وَٱللَّهُ بَصِيرٌۢ بِٱلْعِبَادِ,"And Allah is Seeing [i.e., aware] of [His] servants -",0:45.600
,,,0:50.165
