verse,ar,en,timestamps
55:1,الرَّحْمَنُ,The Most Merciful,0:00.000
55:2,عَلَّمَ الْقُرْءَانَ,"Taught the Qur’an,",0:05.807
55:3,خَلَقَ الْإِنسَنَ,"Created man,",0:11.232
55:4,عَلَّمَهُ الْبَيَانَ,[And] taught him eloquence.,0:17.429
55:5,الشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍ,"The sun and the moon [move] by precise calculation,",0:22.070
55:6,وَالنَّجْمُ وَالشَّجَرُ يَسْجُدَانِ,And the stars and trees prostrate.,0:27.424
55:7,وَالسَّمَاءَ رَفَعَهَا وَوَضَعَ الْمِيزَانَ,And the heaven He raised and imposed the balance,0:33.439
55:8,أَلَّا تَطْغَوْا فِى الْمِيزَانِ,That you not transgress within the balance.,0:43.265
55:9,وَأَقِيمُوا الْوَزْنَ بِالْقِسْطِ,And establish weight in justice,0:49.110
,وَلَا تُخْسِرُوا الْمِيزَانَ,and do not make deficient the balance.,0:52.373
55:10,وَالْأَرْضَ وَضَعَهَا لِلْأَنَامِ,And the earth He laid [out] for the creatures.,0:56.725
55:11,فِيهَا فَكِهَةٌ وَالنَّخْلُ ذَاتُ الْأَكْمَامِ,Therein is fruit and palm trees having sheaths [of dates],1:02.378
55:12,وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُ,And grain having husks and scented plants.,1:10.274
55:13,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,1:15.968
55:14,خَلَقَ الْإِنسَنَ مِن صَلْصَلٍ كَالْفَخَّارِ,He created man from clay like [that of] pottery.,1:25.842
55:15,وَخَلَقَ الْجَانَّ مِن مَّارِجٍ مِّن نَّارٍ,And He created the jinn from a smokeless flame of fire.,1:35.636
55:16,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,1:50.146
55:17,رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِ,[He is] Lord of the two sunrises and Lord of the two sunsets.,2:01.344
55:18,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:05.992
55:19,مَرَجَ الْبَحْرَيْنِ يَلْتَقِيَانِ,"He released the two seas, meeting [one another];",2:13.816
55:20,بَيْنَهُمَا بَرْزَخٌ لَّا يَبْغِيَانِ,Between them is a barrier so neither of them transgresses.,2:17.979
55:21,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:22.589
55:22,يَخْرُجُ مِنْهُمَا اللُّؤْلُؤُ وَالْمَرْجَانُ,From both of them emerge pearl and coral.,2:28.867
55:23,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:34.029
55:24,وَلَهُ الْجَوَارِ الْمُنشََٔاتُ فِى الْبَحْرِ كَالْأَعْلَمِ,And to Him belong the ships [with sails] elevated in the sea like mountains.,2:42.249
55:25,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:49.522
