Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.170	0:00.000	decimal	Cue	
Marker 02	0:06.824	0:00.000	decimal	Cue	
Marker 03	0:13.757	0:00.000	decimal	Cue	
Marker 04	0:18.118	0:00.000	decimal	Cue	
Marker 05	0:24.651	0:00.000	decimal	Cue	
Marker 06	0:28.866	0:00.000	decimal	Cue	
Marker 07	0:35.897	0:00.000	decimal	Cue	
Marker 08	0:42.687	0:00.000	decimal	Cue	
Marker 09	0:50.175	0:00.000	decimal	Cue	
CD Track 01	0:57.840	0:00.000	decimal	Track	
Marker 11	1:01.888	0:00.000	decimal	Cue	
Marker 12	1:08.213	0:00.000	decimal	Cue	
