verse,ar,en,timestamps
37:123,وَإِنَّ إِلْيَاسَ لَمِنَ الْمُرْسَلِينَ,"And indeed, Elias was from among the messengers,",0:00.939
37:124,إِذْ قَالَ لِقَوْمِهِ أَلَا تَتَّقُونَ,"When he said to his people, ""Will you not fear Allah?",0:06.266
37:125,أَتَدْعُونَ بَعْلًا وَتَذَرُونَ أَحْسَنَ الْخَلِقِينَ,Do you call upon Ba'l and leave the best of creators -,0:11.282
37:126,اللَّهَ رَبَّكُمْ وَرَبَّ ءَابَائِكُمُ الْأَوَّلِينَ,"Allah, your Lord and the Lord of your first forefathers?""",0:18.253
37:127,فَكَذَّبُوهُ فَإِنَّهُمْ لَمُحْضَرُونَ,"And they denied him, so indeed, they will be brought [for punishment],",0:25.934
37:128,إِلَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ,Except the chosen servants of Allah.,0:31.582
37:129,وَتَرَكْنَا عَلَيْهِ فِى الْءَاخِرِينَ,And We left for him [favorable mention] among later generations:,0:36.635
37:130,سَلَمٌ عَلَى إِلْ يَاسِينَ,"""Peace upon Elias.""",0:41.707
37:131,إِنَّا كَذَلِكَ نَجْزِى الْمُحْسِنِينَ,"Indeed, We thus reward the doers of good.",0:46.275
37:132,إِنَّهُ مِنْ عِبَادِنَا الْمُؤْمِنِينَ,"Indeed, he was of Our believing servants.",0:51.903
,,,0:56.655
